01_track_100.smt2; timeout 
01_track_162.smt2; Exception in thread "main" java.lang.OutOfMemoryError: Java heap space 	at dk.brics.automaton.MinimizationOperations.minimizeHuffman(Unknown Source) 	at dk.brics.automaton.MinimizationOperations.minimize(Unknown Source) 	at dk.brics.automaton.Automaton.minimize(Unknown Source) 	at edu.boisestate.cs.automatonModel.Model_Acyclic_Inverse.concatenate(Model_Acyclic_Inverse.java:730) 	at edu.boisestate.cs.automatonModel.Model_Acyclic_Inverse.concatenate(Model_Acyclic_Inverse.java:22) 	at edu.boisestate.cs.solvers.Solver.append(Solver.java:69) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:509) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
01_track_163.smt2; sat, 2: "" 5: "" 9: "ccd" 13: "dgcgh" 
01_track_164.smt2; sat, 1: "ga" 3: "" 
01_track_165.smt2; sat, 1: "gcefaecb" 3: "aaacbdgcefbbgeegfdcdcdacfaddeegdegcccaedc" 
01_track_166.smt2; unsat 
01_track_167.smt2; sat, 2: "g" 3: "fhffhhgccgcddhegfhb" 
01_track_168.smt2; sat, 1: "agdhf" 6: "" 14: "" 
01_track_169.smt2; sat, 1: "hg" 6: "eg" 10: "h" 11: "" 
01_track_16.smt2; Exception in thread "main" java.lang.OutOfMemoryError: Java heap space 	at dk.brics.automaton.MinimizationOperations.minimizeHuffman(Unknown Source) 	at dk.brics.automaton.MinimizationOperations.minimize(Unknown Source) 	at dk.brics.automaton.Automaton.minimize(Unknown Source) 	at edu.boisestate.cs.automatonModel.Model_Acyclic_Inverse.concatenate(Model_Acyclic_Inverse.java:730) 	at edu.boisestate.cs.automatonModel.Model_Acyclic_Inverse.concatenate(Model_Acyclic_Inverse.java:22) 	at edu.boisestate.cs.solvers.Solver.append(Solver.java:69) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:509) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
01_track_170.smt2; timeout 
01_track_171.smt2; sat, 1: "" 3: "feeaegbbdecahdfdefdcdbaahafe" 
01_track_172.smt2; sat, 1: "gdbdccb" 3: "dde" 11: "" 
01_track_173.smt2; sat, 1: "ajfdjb" 3: "iacbdjddcdcbibcaabejbghcegibigbceaaefghbdehhfcbbecjhfgigf" 
01_track_174.smt2; 
01_track_175.smt2; sat, 1: "chiacdchcghfcaafbfgaghcgedddaaghchgdhgghibegagghaiciacdgbcadhbcgfifefgcbfcagdde" 
01_track_176.smt2; sat, 2: "gj" 3: "" 
01_track_177.smt2; Exception in thread "main" java.lang.OutOfMemoryError: Java heap space 	at dk.brics.automaton.MinimizationOperations.minimizeHuffman(Unknown Source) 	at dk.brics.automaton.MinimizationOperations.minimize(Unknown Source) 	at dk.brics.automaton.Automaton.minimize(Unknown Source) 	at edu.boisestate.cs.automatonModel.Model_Acyclic_Inverse.concatenate(Model_Acyclic_Inverse.java:730) 	at edu.boisestate.cs.automatonModel.Model_Acyclic_Inverse.concatenate(Model_Acyclic_Inverse.java:22) 	at edu.boisestate.cs.solvers.Solver.append(Solver.java:69) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:509) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
01_track_178.smt2; timeout 
01_track_179.smt2; sat, 2: "" 7: "" 9: "dggebdeh" 
01_track_17.smt2; timeout 
01_track_180.smt2; sat, 1: "hjjfbfeijebfjabciadjchegiiedjdiihifdbfebiechbe" 
01_track_181.smt2; sat, 1: "" 3: "acidagihgdcaf" 
01_track_182.smt2; sat, 1: "j" 6: "" 10: "c" 11: "gj" 
01_track_183.smt2; timeout 
01_track_184.smt2; sat, 1: "idcficcdhgaiega" 6: "eeb" 7: "gfhechbf" 
01_track_185.smt2; sat, 1: "chggiciiggdficiehhi" 
01_track_186.smt2; sat, 1: "gd" 5: "bi" 8: "" 14: "ifibehed" 
01_track_187.smt2; unsat 
01_track_188.smt2; timeout 
01_track_189.smt2; timeout 
01_track_18.smt2; timeout 
01_track_190.smt2; unsat 
01_track_191.smt2; 
01_track_192.smt2; sat, 2: "" 3: "gbhff" 
01_track_193.smt2; sat, 2: "" 4: "" 
01_track_194.smt2; timeout 
01_track_195.smt2; sat, 1: "cj" 3: "ieecg" 
01_track_196.smt2; sat, 1: "" 3: "gffeiddigihfjfeg" 
01_track_197.smt2; sat, 1: "" 5: "jabjdjaigidegjjajgedciad" 
01_track_198.smt2; timeout 
01_track_199.smt2; timeout 
01_track_19.smt2; sat, 1: "" 3: "abcacbbbaaaacbb" 
01_track_1.smt2; sat, 2: "" 4: "" 
01_track_200.smt2; sat, 1: "" 2: "" 4: "" 
01_track_20.smt2; timeout 
01_track_21.smt2; sat, 1: "accdcdaaaccddbc" 3: "" 
01_track_22.smt2; sat, 1: "" 3: "" 6: "e" 8: "heec" 
01_track_23.smt2; timeout 
01_track_24.smt2; sat, 1: "ccbccabacbcccbabbbbaa" 3: "ccbacbbbbbcbbcccbbaacab" 
01_track_25.smt2; timeout 
01_track_26.smt2; timeout 
01_track_27.smt2; sat, 1: "" 3: "jccj" 
01_track_28.smt2; timeout 
01_track_29.smt2; sat, 1: "hdfhcdibhihe" 3: "ehbfbddbhcfahehcfggcegabdddcgacdfge" 
01_track_2.smt2; timeout 
01_track_30.smt2; timeout 
01_track_31.smt2; timeout 
01_track_32.smt2; sat, 1: "ba" 3: "ggebcgdcbb" 
01_track_33.smt2; timeout 
01_track_34.smt2; sat, 1: "edddcfae" 3: "c" 
01_track_35.smt2; timeout 
01_track_36.smt2; timeout 
01_track_37.smt2; unsat 
01_track_38.smt2; sat, 1: "ddede" 6: "dbcaedadcabceffcffecfbcbfabccbedf" 7: "aebbcbbbaccfacdcdaccbfcbaa" 
01_track_39.smt2; timeout 
01_track_3.smt2; sat, 2: "" 4: "aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa" 
01_track_40.smt2; sat, 1: "" 4: "bihfe" 5: "jfbj" 
01_track_41.smt2; timeout 
01_track_42.smt2; timeout 
01_track_43.smt2; timeout 
01_track_44.smt2; sat, 2: "" 4: "" 
01_track_45.smt2; sat, 1: "" 3: "abbbbbbabbbabbabbbaabbaaaababbabbbabbaa" 
01_track_46.smt2; timeout 
01_track_47.smt2; unsat 
01_track_48.smt2; sat, 2: "" 5: "c" 
01_track_49.smt2; sat, 1: "adddcaabaccac" 
01_track_4.smt2; sat, 2: "a" 3: "" 
01_track_50.smt2; timeout 
01_track_51.smt2; sat, 1: "" 3: "babababaaabababbaaababbbabbaaababaaaabbabbbbbabbbbbaa" 
01_track_52.smt2; sat, 1: "cdccbebdabceecacceaea" 
01_track_53.smt2; timeout 
01_track_54.smt2; timeout 
01_track_55.smt2; timeout 
01_track_56.smt2; sat, 1: "bbabbaaba" 3: "aabaabba" 
01_track_57.smt2; sat, 2: "" 7: "" 9: "baabaaaaababbbbab" 
01_track_58.smt2; sat, 1: "bcfhefhgehgggfdgcahb" 3: "fgecacffbbgggebcgfgcfgbaddcdbbfggdegd" 
01_track_59.smt2; timeout 
01_track_5.smt2; sat, 1: "babaaccccaabbac" 3: "" 
01_track_60.smt2; timeout 
01_track_61.smt2; sat, 1: "bbcbc" 6: "" 
01_track_62.smt2; sat, 1: "abcefffgdeaccfcegaaacdacedafccfddef" 
01_track_63.smt2; sat, 1: "caabbabbcbcb" 3: "cabcabcbbcacbbccccbcabaaabbabbbaacccbbaaacbaaaccacbacccabcacabcba" 
01_track_64.smt2; timeout 
01_track_65.smt2; sat, 1: "cacbbcbbac" 3: "acacbbaccabab" 
01_track_66.smt2; sat, 1: "ccb" 3: "b" 
01_track_67.smt2; timeout 
01_track_68.smt2; timeout 
01_track_69.smt2; timeout 
01_track_6.smt2; Exception in thread "main" java.lang.OutOfMemoryError: Java heap space 	at dk.brics.automaton.MinimizationOperations.minimizeHuffman(Unknown Source) 	at dk.brics.automaton.MinimizationOperations.minimize(Unknown Source) 	at dk.brics.automaton.Automaton.minimize(Unknown Source) 	at edu.boisestate.cs.automatonModel.Model_Acyclic_Inverse.concatenate(Model_Acyclic_Inverse.java:730) 	at edu.boisestate.cs.automatonModel.Model_Acyclic_Inverse.concatenate(Model_Acyclic_Inverse.java:22) 	at edu.boisestate.cs.solvers.Solver.append(Solver.java:69) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:509) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
01_track_70.smt2; timeout 
01_track_71.smt2; timeout 
01_track_72.smt2; Exception in thread "main" java.lang.OutOfMemoryError: Java heap space 	at dk.brics.automaton.MinimizationOperations.minimizeHuffman(Unknown Source) 	at dk.brics.automaton.MinimizationOperations.minimize(Unknown Source) 	at dk.brics.automaton.Automaton.minimize(Unknown Source) 	at edu.boisestate.cs.automatonModel.Model_Acyclic_Inverse.concatenate(Model_Acyclic_Inverse.java:730) 	at edu.boisestate.cs.automatonModel.Model_Acyclic_Inverse.concatenate(Model_Acyclic_Inverse.java:22) 	at edu.boisestate.cs.solvers.Solver.append(Solver.java:69) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:509) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
01_track_73.smt2; timeout 
01_track_74.smt2; sat, 1: "eaceaefefeababacedfcafdb" 3: "afbeegcfafgbfbceadaeecaegfadgebbfdcddafcaeadaafdeabgeccceagaecd" 
01_track_75.smt2; timeout 
01_track_76.smt2; unsat 
01_track_77.smt2; timeout 
01_track_78.smt2; sat, 1: "bbcacacabcbbbabababbaaabaab" 
01_track_79.smt2; sat, 2: "" 9: "cabcababcaaaabaacccccabbbabccacabccaacbbab" 11: "" 
01_track_7.smt2; sat, 1: "abbaabbaaaabbbabaaabbbbbabbbaabbbbabb" 3: "abbaaaabbbaabbababbaaabbaababababaabbaabababbabaaabbabb" 
01_track_80.smt2; sat, 1: "" 2: "" 6: "" 11: "aaaa" 
01_track_81.smt2; sat, 1: "" 5: "" 8: "" 10: "acccaaccbcbacab" 
01_track_82.smt2; timeout 
01_track_83.smt2; sat, 1: "ac" 
01_track_84.smt2; sat, 1: "abbbcbcabab" 3: "abacbbc" 
01_track_85.smt2; timeout 
01_track_86.smt2; sat, 1: "" 3: "accccbbba" 
01_track_87.smt2; timeout 
01_track_88.smt2; timeout 
01_track_89.smt2; sat, 1: "cbbbcbbcab" 
01_track_8.smt2; sat, 2: "" 19: "" 21: "fegebbbche" 
01_track_90.smt2; unsat 
01_track_91.smt2; timeout 
01_track_92.smt2; timeout 
01_track_93.smt2; timeout 
01_track_94.smt2; sat, 1: "cecbaedbacacdebecedcabc" 
01_track_95.smt2; sat, 2: "" 7: "cbd" 
01_track_96.smt2; unsat 
01_track_97.smt2; sat, 1: "" 4: "eifececifibi" 5: "" 
01_track_98.smt2; sat, 1: "aecefgdecbaadbaghchcfcgdbhchfbcfehbefgehgfadhdfhe" 3: "" 
01_track_99.smt2; sat, 1: "" 3: "gahehbbdgbaebcechcdab" 
01_track_9.smt2; sat, 1: "aaabbbcacbbcccbcbbcaabbabcacccb" 3: "aabcacccaaa" 
02_track_1.smt2; timeout 
02_track_2.smt2; timeout 
02_track_3.smt2; timeout 
02_track_4.smt2; timeout 
02_track_5.smt2; timeout 
02_track_6.smt2; timeout 
02_track_7.smt2; timeout 
02_track_8.smt2; timeout 
02_track_9.smt2; timeout 
03_track_100.smt2; sat, 1: "" 2: "" 7: "" 14: "aa" 
03_track_101.smt2; timeout 
03_track_102.smt2; sat, 1: "" 2: "" 8: "" 11: "" 16: "aa" 
03_track_103.smt2; timeout 
03_track_104.smt2; sat, 1: "" 4: "a" 
03_track_105.smt2; sat, 1: "" 4: "a" 
03_track_106.smt2; sat, 1: "" 4: "a" 
03_track_107.smt2; sat, 2: "" 5: "" 7: "" 15: "aa" 
03_track_108.smt2; sat, 1: "" 4: "" 6: "" 14: "aa" 
03_track_109.smt2; timeout 
03_track_10.smt2; unsat 
03_track_110.smt2; timeout 
03_track_111.smt2; timeout 
03_track_112.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_113.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_114.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_115.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_116.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_117.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_118.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_119.smt2; sat, 1: "" 4: "" 5: "" 9: "" 11: "a" 21: "" 23: "" 31: "aa" 
03_track_11.smt2; unsat 
03_track_120.smt2; sat, 1: "" 2: "a" 9: "" 14: "aa" 
03_track_121.smt2; timeout 
03_track_122.smt2; timeout 
03_track_123.smt2; sat, 1: "aaa" 4: "aba" 6: "" 8: "" 12: "" 21: "" 23: "" 37: "" 45: "baa" 
03_track_124.smt2; timeout 
03_track_125.smt2; sat, 2: "" 4: "" 8: "" 13: "" 15: "" 18: "a" 25: "a" 31: "" 39: "aa" 
03_track_126.smt2; sat, 1: "" 4: "a" 
03_track_127.smt2; sat, 1: "" 4: "a" 
03_track_128.smt2; timeout 
03_track_129.smt2; sat, 2: "" 5: "" 7: "" 16: "" 18: "" 25: "aa" 
03_track_12.smt2; unsat 
03_track_130.smt2; sat, 1: "" 5: "" 6: "" 10: "" 15: "a" 26: "a" 34: "aa" 
03_track_131.smt2; sat, 2: "" 5: "a" 6: "" 17: "" 47: "" 55: "aa" 
03_track_132.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_133.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
03_track_134.smt2; Exception in thread "main" java.lang.NullPointerException 	at edu.boisestate.cs.solvers.Solver.isSingleton(Solver.java:451) 	at edu.boisestate.cs.Parser_2.processConcat(Parser_2.java:355) 	at edu.boisestate.cs.Parser_2.addOperation(Parser_2.java:157) 	at edu.boisestate.cs.reporting.A_Reporter.run(A_Reporter.java:206) 	at edu.boisestate.cs.SolveMain.run_Acyclic_Inverse_r3(SolveMain.java:623) 	at edu.boisestate.cs.SolveMain.main(SolveMain.java:85) 
