beasties01.smt2; sat, 3: "A" 6: "Q" 9: "G" 12: "G" 15: "G" 18: "G" 21: "G" 24: "G" 27: "Y" 90: "A" 
beasties27.smt2; sat, 3: "A" 6: "K" 9: "K" 12: "K" 15: "K" 18: "R" 21: "K" 24: "K" 27: "K" 30: "K" 33: "K" 36: "H" 39: "K" 42: "H" 45: "K" 48: "H" 51: "K" 54: "H" 57: "K" 60: "G" 63: "K" 66: "Y" 201: "" 
beasties28.smt2; sat, 3: "A" 6: "K" 9: "K" 12: "K" 15: "K" 18: "K" 21: "K" 24: "K" 27: "K" 30: "K" 33: "K" 36: "Y" 102: "" 
beasties29.smt2; sat, 3: "A" 6: "G" 9: "G" 12: "G" 15: "L" 18: "G" 21: "G" 24: "G" 27: "G" 30: "G" 33: "G" 36: "L" 39: "G" 42: "H" 45: "G" 48: "G" 51: "G" 54: "G" 57: "G" 60: "Y" 191: "" 
beasties30.smt2; sat, 3: "A" 6: "G" 9: "G" 12: "G" 15: "G" 18: "G" 21: "G" 24: "L" 27: "G" 30: "G" 33: "G" 36: "G" 39: "G" 42: "G" 45: "Y" 141: "" 
jxml2sql04.smt2; unsat 
jxml2sql07.smt2; unsat 
jxml2sql09.smt2; unsat 
jxml2sql14.smt2; unsat 
jxml2sql15.smt2; unsat 
jxml2sql16.smt2; unsat 
jxml2sql18.smt2; unsat 
jxml2sql19.smt2; unsat 
jxml2sql20.smt2; unsat 
jxml2sql21.smt2; unsat 
jxml2sql22.smt2; unsat 
jxml2sql23.smt2; unsat 
jxml2sql24.smt2; unsat 
jxml2sql25.smt2; unsat 
jxml2sql26.smt2; unsat 
jxml2sql27.smt2; unsat 
jxml2sql28.smt2; unsat 
jxml2sql29.smt2; unsat 
jxml2sql30.smt2; unsat 
jxml2sql31.smt2; unsat 
jxml2sql32.smt2; unsat 
jxml2sql33.smt2; unsat 
jxml2sql34.smt2; unsat 
mathQuizGame01.smt2; unsat 
mathQuizGame02.smt2; unsat 
mathQuizGame03.smt2; unsat 
mathQuizGame04.smt2; unsat 
mathQuizGame09.smt2; unsat 
mathQuizGame10.smt2; unsat 
mathQuizGame12.smt2; unsat 
mathQuizGame13.smt2; unsat 
mathQuizGame14.smt2; unsat 
mathQuizGame15.smt2; unsat 
mathQuizGame16.smt2; unsat 
mathQuizGame17.smt2; unsat 
mathQuizGame19.smt2; unsat 
mathQuizGame20.smt2; unsat 
mathQuizGame21.smt2; unsat 
mathQuizGame22.smt2; unsat 
mathQuizGame23.smt2; unsat 
mathQuizGame24.smt2; unsat 
mathQuizGame26.smt2; unsat 
mathQuizGame27.smt2; unsat 
mathQuizGame28.smt2; unsat 
mathQuizGame29.smt2; unsat 
mathQuizGame30.smt2; unsat 
mathQuizGame31.smt2; unsat 
