instance00022.smt2; sat, 2: "" 
instance00740.smt2; sat, 2: "richfind.comdcww.dmcast.com_" 
instance00742.smt2; sat, 2: "XPPreUser-Agent:RemoteYOURsqlStarLoggerclvompycem/cen.vcn_" 
instance00765.smt2; sat, 2: "" 
instance00774.smt2; sat, 2: "v=c=DALOGbacktrust.comHost:ConnectedHost:Host:Host:lsSpyDawn_" 
instance00776.smt2; sat, 2: "" 
instance00777.smt2; sat, 2: "" 
instance00782.smt2; sat, 2: "" 
instance00784.smt2; sat, 2: "User-Agent:etbuviaebe/eqv.bvv_" 
instance00793.smt2; sat, 2: "" 
instance00801.smt2; sat, 2: "" 
instance00804.smt2; sat, 2: "" 
instance00820.smt2; sat, 2: "" 
instance00827.smt2; sat, 2: "User-Agent:/rssMinutesansweras.starware.comFictionalHost:Host:_" 
instance00845.smt2; sat, 2: "" 
instance00847.smt2; sat, 2: "}{Trojan:backtrust.comHost:pjpoptwql/rlnj_" 
instance00859.smt2; sat, 2: "" 
instance00860.smt2; sat, 2: "" 
instance00861.smt2; sat, 2: "" 
instance00862.smt2; sat, 2: "/&h=11/U_" 
instance00865.smt2; sat, 2: "" 
instance00883.smt2; sat, 2: "" 
instance00901.smt2; sat, 2: "" 
instance00905.smt2; sat, 2: "download.eblocs.comHost:Referer:_" 
instance00907.smt2; sat, 2: "" 
instance00918.smt2; sat, 2: "InformationAgentReferer:Client_" 
instance00923.smt2; sat, 2: "" 
instance00935.smt2; sat, 2: ".aspxdata.warezclient.comWinCrashrunningUser-Agent:wowokay_" 
instance00938.smt2; sat, 2: "" 
instance00948.smt2; sat, 2: "" 
instance00952.smt2; sat, 2: "A-311Host:lnzzlnbk/pkrm.finSubject:_" 
instance00956.smt2; sat, 2: "" 
instance00957.smt2; sat, 2: "" 
instance00961.smt2; sat, 2: "tv.180solutions.comGirlFriendHost:_" 
instance00970.smt2; sat, 2: "Pleasetvshowticketsmedia.dxcdirect.com/bar_pl/chk.fcgi_" 
instance00977.smt2; sat, 2: "" 
instance00985.smt2; sat, 2: "" 
instance00986.smt2; sat, 2: "" 
instance00993.smt2; sat, 2: "" 
instance01014.smt2; sat, 2: "/searchfast/Navhelper_" 
instance01023.smt2; sat, 2: "Project.earthlinkshprrprt-cs-__" 
instance01028.smt2; sat, 2: "Computeron:com>2.41_" 
instance01030.smt2; sat, 2: "" 
instance01040.smt2; sat, 2: "/pagead/ads?search2.ad.shopnav.com/9899/search/results.php_" 
instance01048.smt2; sat, 2: "YWRtaW46YWRtaW4www.e-finder.ccNSIS_DOWNLOADHost:_" 
instance01053.smt2; sat, 2: "" 
instance01054.smt2; sat, 2: "" 
instance01056.smt2; sat, 2: ".icosearch.conduit.com<logs_logs.com>_" 
instance01057.smt2; sat, 2: "richfind.comCookie:Name=Your+Host+is:_" 
instance01067.smt2; sat, 2: "url=Referer:Host:Welcome/communicatortbGateCrasher4.8.4}{Trojan:areSubject:_" 
instance01088.smt2; sat, 2: "" 
instance01089.smt2; sat, 2: "" 
instance01101.smt2; sat, 2: "subject:node=LoginNSIS_DOWNLOAD_" 
instance01107.smt2; sat, 2: "Agentppcdomain.co.ukWordSpy-Locked_" 
instance01121.smt2; sat, 2: "" 
instance01135.smt2; sat, 2: "" 
instance01146.smt2; sat, 2: "" 
instance01168.smt2; sat, 2: "" 
instance01189.smt2; sat, 2: "" 
instance01197.smt2; sat, 2: "" 
instance01235.smt2; sat, 2: "cdpViewWatcher/cgi/logurl.cgiwww.bydou.com_" 
instance01242.smt2; sat, 2: "" 
instance01256.smt2; sat, 2: "" 
instance01258.smt2; sat, 2: "" 
instance01271.smt2; sat, 2: "" 
instance01273.smt2; sat, 2: "ookflolfctm/nmot.fmu_" 
instance01274.smt2; sat, 2: "client.baigoo.comUser:_" 
instance01275.smt2; sat, 2: "" 
instance01277.smt2; sat, 2: "User-Agent:twfofrfzlugq/eve.qduuid=ppcdomain.co.ukGuardedReferer:readyLOGUser-Agent:_" 
instance01287.smt2; sat, 2: "" 
instance01297.smt2; sat, 2: "MyPostsearch.conduit.comUser-Agent:AcmeSubject:ready.___" 
instance01298.smt2; sat, 2: "Toolbarwww.onlinecasinoextra.com_" 
instance01325.smt2; sat, 2: "Toolbarkl.search.need2find.comtvshowticketsToolbarUser-Agent:.compress_" 
instance01335.smt2; sat, 2: "TSA/S:Users\\http://tv.seekmo.com/showme.aspx?keyword=_" 
instance01338.smt2; sat, 2: "Mirar_KeywordContent__" 
instance01353.smt2; sat, 2: "" 
instance01355.smt2; sat, 2: "" 
instance01359.smt2; sat, 2: "" 
instance01360.smt2; sat, 2: "" 
instance01361.smt2; sat, 2: "" 
instance01367.smt2; sat, 2: "" 
instance01368.smt2; sat, 2: ".dat.Toolbar}{OS:toolsbar.kuaiso.com_" 
instance01369.smt2; sat, 2: "" 
instance01376.smt2; sat, 2: "X-Mailer:_wlpgskmv/lwzo.qv#Subject:Activity_" 
instance01401.smt2; sat, 2: "" 
instance01402.smt2; sat, 2: "" 
instance01408.smt2; sat, 2: "" 
instance01410.smt2; sat, 2: "" 
instance01412.smt2; sat, 2: "DesktopSupportFiles_.htmlReferer:www.freescratchandwin.com_" 
instance01414.smt2; sat, 2: "" 
instance01425.smt2; sat, 2: "iz=cyber_yahoo.comSpyBuddyCenterIP-WindowsAttachedPalas.starware.com/dp/search?x=_" 
instance01427.smt2; sat, 2: "Host:Host:body=%21%21%21Optix__" 
instance01428.smt2; sat, 2: "" 
instance01447.smt2; sat, 2: "media.top-banners.com_" 
instance01458.smt2; sat, 2: "" 
instance01468.smt2; sat, 2: "" 
instance01474.smt2; sat, 2: "" 
instance01476.smt2; sat, 2: "" 
instance01478.smt2; sat, 2: "Readydoarauzeraqf/vvv.ulPALTALKHello.MyAgentUser-Agent:IP-FILEUser-Agent:User-Agent:_" 
instance01484.smt2; unsat 
instance01491.smt2; sat, 2: "Theef2Host:WordcommunityUser-Agent:Host:TPSystemHost:Host:Pro_" 
instance01492.smt2; sat, 2: "UBAgentwhenu.com_wp-includes/feed.php?_" 
instance01495.smt2; sat, 2: "" 
instance01523.smt2; sat, 2: "" 
instance01526.smt2; sat, 2: "/cs/pop4/A-Spywww.yoogee.com__" 
instance01527.smt2; sat, 2: "" 
instance01544.smt2; sat, 2: "is}{Port:}{User:_" 
instance01558.smt2; sat, 2: "User-Agent:From:www.onlinecasinoextra.comHost:_" 
instance01567.smt2; sat, 2: "" 
instance01568.smt2; sat, 2: "" 
instance01576.smt2; sat, 2: "ReportIterenetUser-Agent:Host:KEYLOGGER/bar_pl/chk_bar.fcgi_" 
instance01592.smt2; sat, 2: "__" 
instance01593.smt2; sat, 2: "//[fx].jar/U_" 
instance01610.smt2; sat, 2: "/images/nocache/tr/gca/m.gif?_" 
instance01612.smt2; sat, 2: "_____replacement_string---->__" 
instance01614.smt2; sat, 2: "areHost:e2give.comHost:X-Mailer:_sportsHost:Toolbar_" 
instance01617.smt2; sat, 2: "User-Agent:Host:_The_" 
instance01633.smt2; sat, 2: "" 
instance01653.smt2; sat, 2: "t=ProtoUser-Agent:quick.qsrch.com_" 
instance01657.smt2; sat, 2: "" 
instance01658.smt2; sat, 2: "" 
instance01660.smt2; sat, 2: "" 
instance01666.smt2; sat, 2: "User-Agent:User-Agent:wp-includes/theme.php?frame_ver2_" 
instance01669.smt2; sat, 2: "" 
instance01688.smt2; sat, 2: "" 
instance01690.smt2; sat, 2: "" 
instance01695.smt2; sat, 2: "/bar_pl/shdoclc.fcgisource%3Dultrasearch136%26campaign%3DsnapEIHBand,_" 
instance01697.smt2; sat, 2: "" 
instance01701.smt2; sat, 2: "" 
instance01711.smt2; sat, 2: "GREATHost:FILESIZE>_/iis2ebs.aspFTPUser-Agent:_" 
instance01716.smt2; sat, 2: "" 
instance01718.smt2; sat, 2: "Logtraffbest.bizAdToolsLogged_" 
instance01725.smt2; sat, 2: "RequestWindowszzzvmkituktgr/etieencoder_" 
instance01732.smt2; sat, 2: "User-Agent:Web-Mail_" 
instance01733.smt2; sat, 2: "ProPOWRSTRPquick.qsrch.comReferer:_" 
instance01745.smt2; sat, 2: "X-Mailer:_Referer:sponsor2.ucmore.com_" 
instance01746.smt2; sat, 2: "AgentHWAEUser-Agent:_" 
instance01749.smt2; sat, 2: "sbRedirections_Host:Host:User-Agent:hotbar%3fwww.internetadvertisingcompany.biz_" 
instance01758.smt2; sat, 2: "xmlpage=Host:.htmlUser-Agent:bindmqnqgijmng/ojMirar_KeywordContent__" 
instance01768.smt2; sat, 2: "" 
instance01779.smt2; sat, 2: "www.weepee.com_http__CurrentOwner:_" 
instance01785.smt2; sat, 2: "" 
instance01795.smt2; sat, 2: "" 
instance01805.smt2; sat, 2: "" 
instance01808.smt2; sat, 2: "" 
instance01814.smt2; sat, 2: "snprtz|dialnoref=%user_idPG=SPEEDBAR_" 
instance01819.smt2; sat, 2: "" 
instance01828.smt2; sat, 2: "/%3D/Im_" 
instance01831.smt2; sat, 2: "" 
instance01834.smt2; sat, 2: "" 
instance01837.smt2; sat, 2: "" 
instance01844.smt2; sat, 2: "hirmvtg/ggqh.kqh_Surveillance_Host:_" 
instance01853.smt2; sat, 2: "update.cgilogstoHost:_" 
instance01855.smt2; sat, 2: "" 
instance01857.smt2; sat, 2: "" 
instance01859.smt2; sat, 2: "Host:From:Keylogger_" 
instance01875.smt2; sat, 2: "" 
instance01884.smt2; sat, 2: "//cdmax/Ui_" 
instance01894.smt2; sat, 2: "" 
instance01902.smt2; sat, 2: "Surveillance_acezHost:couponbar.coupons.comLOG_" 
instance01904.smt2; sat, 2: "onAlertMGS-Internal-Web-Manager_" 
instance01917.smt2; sat, 2: "wv=update.cgidrivesDaysform-data;_name=_pid__" 
instance01918.smt2; sat, 2: "Serverwjpropqmlpohj/loHost:KEY=_" 
instance01922.smt2; sat, 2: "" 
instance01924.smt2; sat, 2: "" 
instance01945.smt2; sat, 2: "fromMinixmlldap:///bonzibuddy/toolbar_domain_redirectUser-Agent:_" 
instance01951.smt2; sat, 2: "" 
instance01959.smt2; sat, 2: "" 
instance01960.smt2; sat, 2: "HXLogOnlyDaemonactivityIterenetFrom:Class_" 
instance01964.smt2; sat, 2: "doarauzeraqf/vvv.ul_" 
instance01976.smt2; sat, 2: "//stat_u//U_" 
instance01985.smt2; sat, 2: ";CIAKeylogger-ProHost:productscs.shopperreports.com_" 
instance01989.smt2; sat, 2: "User-Agent:register.aspUser-Agent:Host:cdpView_" 
instance01991.smt2; sat, 2: "" 
instance02002.smt2; sat, 2: "www.trackhits.ccUser-Agent:iz=LOGSupremeResult_" 
instance02006.smt2; sat, 2: "Host:SoftwareHost:jokeWEBCAM-Server:_" 
instance02013.smt2; sat, 2: "" 
instance02022.smt2; sat, 2: "" 
instance02030.smt2; sat, 2: "User-Agent:SpyPORT-ischeck=Component_" 
instance02038.smt2; sat, 2: "HWPEMycount.yok.com_" 
instance02043.smt2; sat, 2: "" 
instance02047.smt2; sat, 2: "" 
instance02060.smt2; sat, 2: "" 
instance02063.smt2; sat, 2: "" 
instance02064.smt2; sat, 2: "HWAEUser-Agent:TestHost:www.dotcomtoolbar.com_" 
instance02066.smt2; sat, 2: "" 
instance02074.smt2; sat, 2: "<script_type=_text/javascript_>_" 
instance02086.smt2; sat, 2: "" 
instance02091.smt2; sat, 2: "ovplSubject:TencentTravelerClient}{Sysuptime:_" 
instance02093.smt2; sat, 2: "" 
instance02098.smt2; sat, 2: "" 
instance02120.smt2; sat, 2: "" 
instance02130.smt2; sat, 2: "" 
instance02140.smt2; sat, 2: "myway.comzmnjgmomgbdz/zzmw.gztUser-Agent:_" 
instance02146.smt2; sat, 2: "www.onetoolbar.comcommunity_" 
instance02153.smt2; sat, 2: "dialupvpn_pwd/iis2ebs.aspOn-Line...Report/newsurfer4/URLAuthorization:_" 
instance02169.smt2; sat, 2: "as.starware.com%3fUser-Agent:hostie_" 
instance02170.smt2; sat, 2: "Referer:Host:port:activity_" 
instance02172.smt2; sat, 2: "" 
instance02176.smt2; sat, 2: "" 
instance02177.smt2; sat, 2: "Server/download/toolbar/locatorstoolbar.html%3fSubject:Everyware_" 
instance02179.smt2; sat, 2: "adserver.warezclient.com530Host:_" 
instance02184.smt2; sat, 2: "//stat_svc//U_" 
instance02187.smt2; sat, 2: "" 
instance02188.smt2; sat, 2: "" 
instance02192.smt2; sat, 2: "12/err_" 
instance02197.smt2; sat, 2: "HXLogOnlyanHost:spasHost:_" 
instance02212.smt2; sat, 2: "dist.atlas-ia.comSpy-LockedOnlineconnection_" 
instance02216.smt2; sat, 2: "" 
instance02219.smt2; sat, 2: "Computer}{Sysuptime:www.ezula.comanswerServerHost:serveradfsgecoiwnf__" 
instance02231.smt2; sat, 2: "portSpediaYourtraffbest.bizUser-Agent:CSmtpMonsterixqshv/qzccsHost:_" 
instance02265.smt2; sat, 2: "" 
instance02270.smt2; sat, 2: "" 
instance02273.smt2; sat, 2: "www.zhongsou.comclick.dotcomtoolbar.com_" 
instance02274.smt2; sat, 2: "" 
instance02279.smt2; sat, 2: "Host:logUser-Agent:onSubject:_" 
instance02299.smt2; sat, 2: "" 
instance02304.smt2; sat, 2: "" 
instance02306.smt2; sat, 2: "RequestedLoggedtb.freeprod.comHWAESubject:adserver.warezclient.com_" 
instance02314.smt2; sat, 2: "" 
instance02320.smt2; sat, 2: "from:User-Agent:ChildWebGuardian_" 
instance02324.smt2; sat, 2: "" 
instance02327.smt2; sat, 2: "" 
instance02332.smt2; sat, 2: "" 
instance02345.smt2; sat, 2: "" 
instance02354.smt2; sat, 2: "" 
instance02357.smt2; sat, 2: "" 
instance02358.smt2; sat, 2: "" 
instance02365.smt2; sat, 2: "SpyBuddyZOMBIES_HTTP_GETearch.earthlink_" 
instance02366.smt2; sat, 2: "" 
instance02380.smt2; sat, 2: "" 
instance02383.smt2; sat, 2: "toolbar_domain_redirectlibManager.dll^get_" 
instance02390.smt2; sat, 2: "" 
instance02395.smt2; sat, 2: "" 
instance02398.smt2; sat, 2: "Host:IPAsynchaveAdToolszopabora.info_" 
instance02399.smt2; sat, 2: "stats.drivecleaner.com_Exciteasdbiz.biz_" 
instance02403.smt2; sat, 2: "Uin=encodernotification_/toolbar/Host:User-Agent:_" 
instance02413.smt2; sat, 2: "" 
instance02416.smt2; sat, 2: "" 
instance02427.smt2; sat, 2: "thesearchresltLoggerHost:BetaHWAEHost:is_" 
instance02429.smt2; sat, 2: "/ta/NEWS/password;1;Optix_" 
instance02439.smt2; sat, 2: "NETObserveSupervisorHost:websearch.drsnsrch.com__" 
instance02451.smt2; sat, 2: "" 
instance02458.smt2; sat, 2: "" 
instance02459.smt2; sat, 2: "www.richfind.comHost:_" 
instance02468.smt2; sat, 2: "}{OS:securityUser-Agent:www.sogou.com_" 
instance02478.smt2; sat, 2: "horoscope2Cookie:datATTENTION:Kontiki_" 
instance02481.smt2; sat, 2: "engineResultUser-Agent:_" 
instance02482.smt2; sat, 2: "" 
instance02489.smt2; sat, 2: "" 
instance02507.smt2; sat, 2: "/xml/toolbar/_" 
instance02514.smt2; sat, 2: "" 
instance02518.smt2; sat, 2: "SystemSleuth_1.0versionHost:ArrowHost:3Awebsearch.drsnsrch.com_hostieiWonHost:pjpoptwql/rlnj_" 
instance02520.smt2; sat, 2: "DmInf^____Attached/bar_pl/chk.fcgi_" 
instance02542.smt2; sat, 2: "&_" 
instance02573.smt2; sat, 2: "Subject:SpywareSpyBuddy_" 
instance02586.smt2; sat, 2: "ShadowNetMyAgentServerconfigINTERNAL.iniKeylogger-Prosearchreslt_" 
instance02591.smt2; sat, 2: "" 
instance02596.smt2; sat, 2: "" 
instance02601.smt2; sat, 2: "3ASoftwarephpinfoSpy.nbdMailerX-Mailer:_195.225.Subject:_" 
instance02622.smt2; sat, 2: "" 
instance02678.smt2; sat, 2: "" 
instance02686.smt2; sat, 2: "cyber_yahoo.comconfig.180solutions.com_" 
instance02697.smt2; sat, 2: ".myway.com_ToolbarUI2Host:Subject:toxbqyosoe/cpvm_" 
instance02701.smt2; sat, 2: "" 
instance02715.smt2; sat, 2: "clvompycem/cen.vcnHost:User-Agent:___" 
instance02732.smt2; sat, 2: "195.225.<title>Actual_" 
instance02733.smt2; sat, 2: "" 
instance02743.smt2; sat, 2: "" 
instance02744.smt2; sat, 2: "Ts2/User-Agent:actualnames.comGURLwww.altnet.com__" 
instance02745.smt2; sat, 2: "" 
instance02753.smt2; sat, 2: "" 
instance02758.smt2; sat, 2: "" 
instance02759.smt2; sat, 2: "" 
instance02770.smt2; sat, 2: "" 
instance02771.smt2; sat, 2: "isiz=Xtrastepwebhancer.comStubbyOnever:Ghost__" 
instance02777.smt2; sat, 2: "Onetrustyfiles.comOverSpyzopabora.info_" 
instance02800.smt2; sat, 2: "/newsurfer4/OK__encodertvlistingsTM_SEARCH3_" 
instance02808.smt2; sat, 2: "Server.exeHWPEServer:Host:_" 
instance02812.smt2; sat, 2: "url=http:_GamespyjspIDENTIFYserverHOST:Subject:_" 
instance02813.smt2; sat, 2: "Searchdata2.activshopper.comdll?productsCUSTOMSAccwww.locators.com_" 
instance02814.smt2; sat, 2: "" 
instance02816.smt2; sat, 2: "Subject:HostYWRtaW46cGFzc3dvcmQ_" 
instance02824.smt2; sat, 2: "www.maxifiles.comServidor.__" 
instance02825.smt2; sat, 2: "" 
instance02826.smt2; sat, 2: "" 
instance02844.smt2; sat, 2: "shprrprt-cs-_Pre/ta/NEWS/_" 
instance02845.smt2; sat, 2: "" 
instance02859.smt2; sat, 2: "" 
instance02868.smt2; sat, 2: "" 
instance02869.smt2; sat, 2: "" 
instance02873.smt2; sat, 2: "" 
instance02876.smt2; sat, 2: "" 
instance02888.smt2; sat, 2: "presentsearch.netLocalHost:PORT=WatchDogHost:_" 
instance02890.smt2; sat, 2: "" 
instance02891.smt2; sat, 2: "" 
instance02892.smt2; sat, 2: "BysooTBUser-Agent:_" 
instance02899.smt2; sat, 2: "Host:/ta/NEWS/yayad.com__" 
instance02912.smt2; sat, 2: "" 
instance02918.smt2; sat, 2: "welcomeforToolbarHost:_" 
instance02920.smt2; sat, 2: "attachedEverywareHELOBasic_" 
instance02929.smt2; sat, 2: "" 
instance02934.smt2; sat, 2: "http://mysearch.dropspam.com/index.php?tpid=__" 
instance02943.smt2; sat, 2: "" 
instance02954.smt2; sat, 2: "" 
instance02955.smt2; sat, 2: "Host:Attachedengineact=Download_" 
instance02957.smt2; sat, 2: "" 
instance02971.smt2; sat, 2: "comLOGUser-Agent:istsvcwww.oemji.comSystemSleuth__" 
instance02978.smt2; sat, 2: "IPUSER-Host:User-Agent:/searchfast/_" 
instance02987.smt2; sat, 2: "" 
instance02997.smt2; sat, 2: ".txt_" 
instance03001.smt2; sat, 2: "<chat>_Host:tid={_" 
instance03007.smt2; sat, 2: "" 
instance03043.smt2; sat, 2: "" 
instance03062.smt2; sat, 2: "horoscope2YAHOOwww.2-seek.com/searchHost:_" 
instance03094.smt2; sat, 2: "" 
instance03097.smt2; sat, 2: "[StaticHost:FROM:cs.shopperreports.commedia.top-banners.com/bar_pl/b.fcgi_" 
instance03098.smt2; sat, 2: "/pagead/ads?waitingisDownload_" 
instance03108.smt2; sat, 2: "" 
instance03116.smt2; sat, 2: "" 
instance03127.smt2; sat, 2: "" 
instance03133.smt2; sat, 2: "Host:}{Port:www.instafinder.com_" 
instance03136.smt2; sat, 2: "" 
instance03142.smt2; sat, 2: "" 
instance03148.smt2; sat, 2: "ContactHost:Host:FloodedFictionalUser-Agent:Host:_" 
instance03153.smt2; sat, 2: "" 
instance03161.smt2; sat, 2: "" 
instance03163.smt2; sat, 2: "toetbuviaebe/eqv.bvvuplink.co.krwv=Host:_" 
instance03197.smt2; sat, 2: "" 
instance03200.smt2; sat, 2: "" 
instance03203.smt2; sat, 2: "" 
instance03216.smt2; sat, 2: "" 
instance03227.smt2; sat, 2: "mywayUser-Agent:Host:Redirector_body=FeaR%200.2.0%20Online:%20[IP__" 
instance03232.smt2; sat, 2: "AID/Host:Hourskl.search.need2find.comHost:Host:_" 
instance03234.smt2; sat, 2: "Stealth.phpSpyAgentHost:IterenetUser-Agent:Host:Host:origin=sidefind_" 
instance03235.smt2; sat, 2: "" 
instance03246.smt2; sat, 2: "3Awww.urlblaze.netulmxct/mqoycEFErrorHost:e2give.com_" 
instance03264.smt2; sat, 2: "Host:Host:User-Agent:Serverad.mokead.com_" 
instance03270.smt2; sat, 2: "Bar/newsurfer4/client=BysooTBADdcww.dmcast.comc.goclick.com_" 
instance03276.smt2; sat, 2: "" 
instance03294.smt2; sat, 2: "" 
instance03304.smt2; sat, 2: "/bar_pl/chk_bar.fcgiUser-Agent:_" 
instance03309.smt2; sat, 2: "" 
instance03316.smt2; sat, 2: "aohobygi/zwiwHost:}|richfind.com_" 
instance03317.smt2; sat, 2: "" 
instance03329.smt2; sat, 2: "cojud.dmcast.comAgentHost:insertkeys<keys_hotpop_" 
instance03331.smt2; sat, 2: "for/products/spyblocs/_Host:ocllceclbhs/gth_" 
instance03338.smt2; sat, 2: "HTTPwwwProbnymomspyo/zowy_" 
instance03342.smt2; sat, 2: "WinCrashcomHost:tid=%toolbar_id4.8.4_" 
instance03347.smt2; sat, 2: "666Host:WEBCAM-Host:_" 
instance03366.smt2; sat, 2: "" 
instance03370.smt2; sat, 2: "(robert_blackcastlesoft.com)_" 
instance03372.smt2; sat, 2: "//fnts.html/U_" 
instance03374.smt2; sat, 2: "" 
instance03382.smt2; sat, 2: "eveocczmthmmq/omzlHello./asp/offers.asp?_" 
instance03399.smt2; sat, 2: "LIST]SpamBlockerUtilityTry2FindBasicHost:User-Agent:AcmeprotocolSpy_" 
instance03405.smt2; sat, 2: "" 
instance03413.smt2; sat, 2: "LOGLiveHost:LOGHandyhttp://www.searchinweb.com/search.php?said=bar_" 
instance03416.smt2; sat, 2: "media.dxcdirect.com_" 
instance03431.smt2; sat, 2: "" 
instance03433.smt2; sat, 2: "TPSystemad.searchsquire.comv.Host:hotbar_" 
instance03435.smt2; sat, 2: "Toolbar/images/nocache/tr/gca/m.gif?_" 
instance03441.smt2; sat, 2: "" 
instance03444.smt2; sat, 2: "" 
instance03459.smt2; sat, 2: "" 
instance03465.smt2; sat, 2: "Host:00000www.zhongsou.com_" 
instance03473.smt2; sat, 2: "IPOblivionhoroscopefowclxccdxn/uxwn.ddy_" 
instance03495.smt2; sat, 2: "" 
instance03522.smt2; sat, 2: "User-Agent:gpstool.globaladserver.com_" 
instance03542.smt2; sat, 2: "SSKCstech.web-nexus.net_" 
