,mas,,,cvc5,,,ostrich,,,z3
filename,real,user,sys,real,user,sys,real,user,sys,real,user,sys
jxml2sql18,3.871,12.081,1.513,0.000,0.000,0.000,2.551,7.708,1.253,0.000,0.000,0.000,
jxml2sql19,4.457,13.258,2.143,0.000,0.000,0.000,2.546,8.154,1.264,0.000,0.000,0.000,
jxml2sql20,4.298,12.271,1.882,0.000,0.000,0.000,2.534,8.040,1.240,0.000,0.000,0.000,
jxml2sql21,4.426,13.168,2.056,0.000,0.000,0.000,2.570,8.260,1.267,0.000,0.000,0.000,
jxml2sql22,1.351,5.404,0.987,0.000,0.000,0.000,2.151,6.640,1.033,0.000,0.000,0.000,
jxml2sql23,3.514,11.889,1.553,0.000,0.000,0.000,2.498,8.092,1.234,0.000,0.000,0.000,
jxml2sql24,3.934,13.643,1.646,0.000,0.000,0.000,2.337,7.949,1.110,0.000,0.000,0.000,
jxml2sql25,3.958,12.071,2.141,0.000,0.000,0.000,2.533,7.261,1.209,0.000,0.000,0.000,
jxml2sql26,4.700,12.977,2.049,0.000,0.000,0.000,2.557,8.436,1.313,0.000,0.000,0.000,
jxml2sql27,4.678,12.741,2.053,0.000,0.000,0.000,2.532,8.423,1.264,0.000,0.000,0.000,
jxml2sql28,4.129,13.366,1.880,0.000,0.000,0.000,2.613,8.426,1.312,0.000,0.000,0.000,
jxml2sql29,5.145,14.634,1.986,0.000,0.000,0.000,2.643,8.891,1.244,0.000,0.000,0.000,
jxml2sql30,3.521,11.939,1.513,0.000,0.000,0.000,2.341,8.154,1.194,0.000,0.000,0.000,
jxml2sql31,4.039,12.730,1.860,0.000,0.000,0.000,2.481,7.702,1.144,0.000,0.000,0.000,
jxml2sql32,3.506,11.643,1.551,0.000,0.000,0.000,2.334,7.869,1.140,0.000,0.000,0.000,
jxml2sql33,4.362,13.849,2.178,0.000,0.000,0.000,2.474,7.829,1.153,0.000,0.000,0.000,
jxml2sql34,4.201,12.868,1.909,0.000,0.000,0.000,2.532,7.676,1.317,0.000,0.000,0.000,
mathQuizGame01,2.158,11.782,1.781,0.000,0.000,0.000,2.745,9.650,1.408,626.847,622.261,3.072,
mathQuizGame02,1.451,6.074,1.032,0.000,0.000,0.000,2.469,7.778,1.235,797.300,793.474,1.912,
mathQuizGame03,0.850,1.191,0.468,0.000,0.000,0.000,2.051,5.747,0.956,22.378,22.001,0.286,
mathQuizGame04,1.152,3.031,0.710,0.000,0.000,0.000,2.310,6.463,1.088,101.619,100.740,0.594,
mathQuizGame09,0.880,1.374,0.490,0.000,0.000,0.000,2.056,5.585,0.913,27.401,27.006,0.289,
mathQuizGame10,1.031,1.542,0.512,0.000,0.000,0.000,2.267,6.406,1.042,485.024,482.670,1.182,
mathQuizGame12,1.251,4.352,0.862,0.000,0.000,0.000,2.543,8.063,1.221,0.000,0.000,0.000,
mathQuizGame13,2.152,9.221,1.407,0.000,0.000,0.000,2.500,7.485,1.254,839.636,835.249,2.366,
mathQuizGame14,1.356,5.121,1.024,0.000,0.000,0.000,2.525,7.877,1.224,100.077,99.116,0.684,
mathQuizGame15,2.194,9.024,1.548,0.000,0.000,0.000,2.497,7.993,1.297,971.068,966.098,2.636,
mathQuizGame16,1.356,4.756,1.078,0.000,0.000,0.000,2.363,7.584,1.041,0.000,0.000,0.000,
mathQuizGame17,1.788,8.052,1.252,0.000,0.000,0.000,2.493,8.218,1.275,267.902,266.105,1.066,
mathQuizGame19,1.293,4.842,0.876,0.000,0.000,0.000,2.349,7.516,1.023,0.000,0.000,0.000,
mathQuizGame20,3.371,12.478,1.494,0.000,0.000,0.000,2.668,8.216,1.296,0.000,0.000,0.000,
mathQuizGame21,1.397,5.426,1.031,0.000,0.000,0.000,2.485,7.654,1.254,0.000,0.000,0.000,
mathQuizGame22,2.241,8.459,1.306,0.000,0.000,0.000,2.517,7.448,1.232,0.000,0.000,0.000,
mathQuizGame23,1.402,5.234,1.079,0.000,0.000,0.000,2.538,7.707,1.249,0.000,0.000,0.000,
mathQuizGame24,2.346,9.140,1.464,0.000,0.000,0.000,2.501,7.818,1.252,0.000,0.000,0.000,
mathQuizGame26,1.342,5.113,0.991,0.000,0.000,0.000,2.371,7.116,1.019,0.000,0.000,0.000,
mathQuizGame27,2.926,9.996,1.607,0.000,0.000,0.000,2.664,7.692,1.273,0.000,0.000,0.000,
mathQuizGame28,1.394,5.197,1.015,0.000,0.000,0.000,2.348,7.649,1.091,0.000,0.000,0.000,
mathQuizGame29,2.098,8.741,1.361,0.000,0.000,0.000,2.442,7.652,1.144,208.952,207.636,0.776,
mathQuizGame30,1.386,5.019,1.047,0.000,0.000,0.000,2.550,8.041,1.273,0.000,0.000,0.000,
mathQuizGame31,2.167,9.286,1.501,0.000,0.000,0.000,2.541,8.129,1.254,733.260,728.764,2.731,
