,mas,,,cvc5,,,ostrich,,,z3
filename,real,user,sys,real,user,sys,real,user,sys,real,user,sys
slog_stranger_1056_sink,0.810,0.925,0.481,0.322,0.073,0.213,1.239,1.111,0.529,0.311,0.070,0.181,
slog_stranger_1057_sink,0.844,1.038,0.474,0.385,0.053,0.219,2.000,4.621,0.882,0.320,0.081,0.183,
slog_stranger_1058_sink,0.881,1.058,0.502,0.311,0.062,0.214,1.955,4.814,0.921,0.303,0.077,0.179,
slog_stranger_1059_sink,0.852,0.986,0.481,0.355,0.077,0.212,1.122,1.113,0.511,0.325,0.075,0.182,
slog_stranger_1060_sink,0.828,0.946,0.476,0.360,0.071,0.209,1.124,1.143,0.550,0.360,0.072,0.190,
slog_stranger_1061_sink,0.824,0.970,0.460,0.326,0.077,0.199,1.172,1.136,0.512,0.354,0.082,0.172,
slog_stranger_1069_sink,0.838,1.010,0.461,0.313,0.065,0.208,2.247,6.263,1.083,0.320,0.088,0.169,
slog_stranger_1073_sink,0.844,0.947,0.518,0.332,0.070,0.214,1.142,1.109,0.533,0.301,0.076,0.180,
slog_stranger_1078_sink,0.834,0.981,0.480,0.324,0.056,0.219,1.731,2.990,0.763,0.327,0.072,0.181,
slog_stranger_1092_sink,0.854,0.967,0.506,0.324,0.071,0.219,1.149,1.134,0.518,0.339,0.087,0.172,
slog_stranger_1094_sink,0.850,0.957,0.513,0.336,0.071,0.210,1.132,1.103,0.548,0.285,0.077,0.174,
slog_stranger_1096_sink,0.837,0.953,0.475,0.351,0.068,0.218,1.247,1.141,0.588,0.316,0.081,0.175,
slog_stranger_1102_sink,0.863,0.994,0.502,0.433,0.062,0.209,1.791,3.059,0.710,0.394,0.091,0.170,
slog_stranger_1104_sink,0.819,0.917,0.491,0.367,0.075,0.214,1.131,1.101,0.566,0.531,0.073,0.177,
slog_stranger_1105_sink,0.858,0.972,0.517,0.470,0.071,0.207,1.132,1.096,0.538,0.536,0.069,0.187,
slog_stranger_1110_sink,0.822,0.933,0.481,0.359,0.070,0.208,1.187,1.164,0.559,0.358,0.078,0.176,
slog_stranger_1113_sink,0.832,0.949,0.480,0.329,0.068,0.219,1.156,1.160,0.539,0.403,0.078,0.177,
slog_stranger_1114_sink,0.857,0.958,0.514,0.353,0.072,0.211,1.202,1.173,0.519,0.301,0.077,0.180,
slog_stranger_1115_sink,0.846,0.960,0.494,0.328,0.073,0.213,1.275,1.161,0.566,0.457,0.087,0.166,
slog_stranger_1116_sink,0.827,0.909,0.493,0.329,0.078,0.210,1.271,1.174,0.564,0.312,0.075,0.183,
slog_stranger_1120_sink,0.821,0.935,0.473,0.339,0.077,0.207,1.137,1.178,0.539,0.297,0.068,0.188,
slog_stranger_1125_sink,0.843,0.983,0.477,0.367,0.070,0.219,1.299,1.116,0.537,0.368,0.069,0.188,
slog_stranger_1126_sink,0.819,0.945,0.485,0.368,0.070,0.215,1.220,1.185,0.548,0.533,0.076,0.184,
slog_stranger_1127_sink,0.829,0.955,0.479,0.362,0.078,0.206,1.208,1.173,0.539,0.368,0.079,0.169,
slog_stranger_1129_sink,0.852,0.955,0.503,0.549,0.078,0.210,1.135,1.160,0.501,0.314,0.071,0.185,
slog_stranger_1130_sink,0.828,0.930,0.496,0.394,0.073,0.220,1.156,1.094,0.551,0.295,0.074,0.174,
slog_stranger_1131_sink,0.850,0.952,0.512,0.325,0.080,0.195,1.167,1.206,0.510,0.302,0.077,0.184,
slog_stranger_1133_sink,0.884,0.927,0.535,0.333,0.068,0.220,1.169,1.131,0.538,0.424,0.080,0.180,
slog_stranger_1134_sink,0.863,0.958,0.503,0.315,0.070,0.206,1.123,1.106,0.546,0.300,0.073,0.178,
slog_stranger_1135_sink,0.828,0.945,0.479,0.328,0.074,0.212,1.130,1.135,0.528,0.300,0.077,0.168,
slog_stranger_1136_sink,0.818,0.946,0.460,0.312,0.067,0.207,1.212,1.157,0.578,0.291,0.079,0.178,
slog_stranger_1137_sink,0.864,0.933,0.502,0.324,0.065,0.219,1.174,1.162,0.530,0.333,0.079,0.179,
slog_stranger_1139_sink,0.868,0.978,0.499,0.336,0.080,0.204,1.151,1.089,0.549,0.345,0.075,0.174,
slog_stranger_1140_sink,0.852,0.965,0.517,0.341,0.069,0.223,1.190,1.137,0.572,0.284,0.086,0.166,
slog_stranger_1141_sink,0.855,0.953,0.515,0.312,0.076,0.201,1.182,1.177,0.571,0.291,0.087,0.167,
slog_stranger_1142_sink,0.830,0.947,0.484,0.320,0.066,0.219,1.406,1.141,0.530,0.608,0.085,0.173,
slog_stranger_1143_sink,0.814,0.934,0.487,0.324,0.072,0.214,1.124,1.140,0.511,0.306,0.072,0.182,
slog_stranger_1144_sink,0.841,0.929,0.487,0.341,0.072,0.219,1.202,1.130,0.571,0.438,0.068,0.177,
slog_stranger_1145_sink,0.856,0.956,0.505,0.320,0.072,0.204,1.166,1.113,0.588,0.306,0.075,0.178,
slog_stranger_1146_sink,0.869,0.930,0.533,0.346,0.079,0.202,1.172,1.158,0.523,0.337,0.069,0.181,
slog_stranger_1147_sink,0.825,0.954,0.470,0.392,0.079,0.204,1.136,1.117,0.561,0.294,0.080,0.177,
slog_stranger_1148_sink,0.866,0.964,0.513,0.445,0.076,0.210,1.287,1.138,0.555,0.297,0.080,0.178,
slog_stranger_1149_sink,0.859,0.938,0.524,0.312,0.073,0.210,1.171,1.170,0.539,0.310,0.070,0.180,
slog_stranger_1151_sink,0.854,1.003,0.499,0.336,0.071,0.215,1.334,1.546,0.576,0.292,0.089,0.164,
slog_stranger_1155_sink,1.279,1.612,0.605,0.329,0.071,0.213,1.154,1.157,0.532,0.456,0.075,0.180,
slog_stranger_1156_sink,1.195,1.581,0.699,0.323,0.079,0.204,1.126,1.118,0.539,0.293,0.069,0.184,
slog_stranger_1158_sink,0.820,0.970,0.486,0.348,0.064,0.202,1.678,3.093,0.724,0.297,0.073,0.182,
slog_stranger_1160_sink,0.841,0.980,0.504,0.329,0.073,0.207,1.397,1.415,0.566,0.315,0.081,0.168,
slog_stranger_1161_sink,0.855,1.014,0.489,0.560,0.072,0.217,1.337,1.386,0.558,0.285,0.084,0.176,
slog_stranger_1162_sink,0.916,0.940,0.526,0.355,0.073,0.210,1.171,1.150,0.532,0.295,0.072,0.175,
slog_stranger_1167_sink,0.860,0.984,0.480,0.330,0.077,0.203,1.115,1.111,0.532,0.318,0.065,0.185,
slog_stranger_1168_sink,0.853,0.943,0.523,0.325,0.069,0.217,1.144,1.120,0.550,0.319,0.076,0.184,
slog_stranger_1169_sink,0.819,0.942,0.465,0.435,0.075,0.208,1.158,1.150,0.540,0.297,0.074,0.181,
slog_stranger_1170_sink,0.841,0.928,0.500,0.415,0.077,0.198,1.139,1.172,0.524,0.340,0.078,0.174,
slog_stranger_1171_sink,0.835,0.946,0.485,0.344,0.070,0.208,1.149,1.140,0.535,0.284,0.070,0.176,
slog_stranger_1173_sink,0.855,0.980,0.515,0.371,0.066,0.211,1.217,1.300,0.554,0.304,0.067,0.192,
slog_stranger_1174_sink,0.852,0.964,0.509,0.400,0.062,0.225,1.156,1.083,0.546,0.339,0.075,0.176,
slog_stranger_1178_sink,0.818,0.900,0.497,0.400,0.071,0.222,1.174,1.144,0.529,0.281,0.074,0.172,
slog_stranger_1191_sink,0.854,0.976,0.478,0.341,0.068,0.217,1.162,1.134,0.515,0.284,0.069,0.179,
slog_stranger_1192_sink,0.839,0.984,0.463,0.330,0.057,0.214,1.652,2.966,0.685,0.370,0.083,0.171,
slog_stranger_1193_sink,0.837,0.908,0.510,0.338,0.063,0.218,1.189,1.176,0.561,0.301,0.074,0.185,
slog_stranger_1199_sink,0.852,0.964,0.487,0.461,0.073,0.210,1.137,1.133,0.540,0.386,0.080,0.178,
slog_stranger_1203_sink,0.824,0.903,0.509,0.314,0.068,0.206,1.177,1.115,0.578,0.296,0.072,0.186,
slog_stranger_1204_sink,0.857,0.942,0.524,0.350,0.077,0.212,1.151,1.142,0.530,0.310,0.071,0.187,
slog_stranger_1206_sink,0.810,0.943,0.473,0.341,0.079,0.207,1.193,1.176,0.582,0.343,0.078,0.176,
slog_stranger_1209_sink,0.839,0.956,0.487,0.344,0.071,0.219,1.151,1.137,0.528,0.292,0.073,0.177,
slog_stranger_1217_sink,0.854,0.971,0.503,0.348,0.070,0.220,1.141,1.166,0.522,0.356,0.074,0.178,
slog_stranger_1224_sink,0.860,0.963,0.507,0.386,0.071,0.211,1.342,1.142,0.579,0.300,0.080,0.176,
slog_stranger_1225_sink,0.834,0.947,0.493,0.345,0.074,0.209,1.142,1.178,0.526,0.281,0.077,0.174,
slog_stranger_1228_sink,0.837,0.972,0.487,0.342,0.071,0.217,1.368,1.565,0.638,0.294,0.083,0.166,
slog_stranger_1230_sink,0.859,1.035,0.474,0.318,0.080,0.208,1.497,2.298,0.657,0.341,0.088,0.184,
slog_stranger_1234_sink,0.830,0.949,0.481,0.334,0.082,0.209,1.126,1.130,0.529,0.310,0.074,0.190,
slog_stranger_1235_sink,0.828,0.921,0.498,0.321,0.078,0.209,1.140,1.144,0.522,0.366,0.071,0.179,
slog_stranger_1236_sink,0.859,0.985,0.486,0.355,0.071,0.209,1.157,1.124,0.538,0.386,0.071,0.173,
slog_stranger_1237_sink,0.848,0.931,0.542,0.325,0.075,0.200,1.195,1.141,0.563,0.308,0.079,0.174,
slog_stranger_1238_sink,0.818,0.939,0.480,0.324,0.067,0.218,1.155,1.115,0.554,0.314,0.080,0.172,
slog_stranger_1239_sink,0.851,0.957,0.514,0.321,0.081,0.201,1.188,1.142,0.564,0.305,0.076,0.178,
slog_stranger_1241_sink,0.826,0.959,0.483,0.333,0.067,0.225,1.268,1.407,0.576,0.288,0.079,0.175,
slog_stranger_1242_sink,0.855,0.977,0.489,0.313,0.081,0.197,1.198,1.147,0.529,0.362,0.076,0.179,
slog_stranger_1245_sink,0.832,0.944,0.492,0.413,0.078,0.207,1.248,1.107,0.537,0.289,0.070,0.186,
slog_stranger_1250_sink,0.840,0.970,0.509,0.320,0.067,0.211,1.402,1.359,0.568,0.496,0.073,0.181,
slog_stranger_1251_sink,0.894,1.405,0.572,0.345,0.116,0.193,2.824,9.281,1.568,0.551,0.292,0.214,
slog_stranger_1252_sink,0.878,1.034,0.491,0.338,0.078,0.199,1.311,1.568,0.584,0.304,0.086,0.170,
slog_stranger_1253_sink,0.817,0.942,0.480,0.332,0.076,0.221,1.151,1.133,0.542,0.302,0.073,0.182,
slog_stranger_1254_sink,0.875,1.021,0.490,0.326,0.064,0.213,1.336,1.402,0.567,0.369,0.071,0.180,
slog_stranger_1257_sink,0.840,0.962,0.509,0.320,0.071,0.217,1.294,1.394,0.597,0.299,0.084,0.177,
slog_stranger_1258_sink,0.867,0.973,0.511,0.330,0.070,0.218,1.210,1.231,0.559,0.310,0.089,0.162,
slog_stranger_1259_sink,0.865,0.964,0.492,0.313,0.074,0.203,1.248,1.106,0.524,0.298,0.074,0.180,
slog_stranger_1260_sink,0.835,0.939,0.481,0.313,0.075,0.209,1.184,1.139,0.564,0.451,0.081,0.178,
slog_stranger_1261_sink,0.847,0.924,0.497,0.334,0.073,0.218,1.128,1.136,0.521,0.312,0.076,0.174,
slog_stranger_1262_sink,0.858,0.955,0.503,0.340,0.075,0.202,1.158,1.110,0.554,0.302,0.072,0.181,
slog_stranger_1263_sink,0.869,0.947,0.521,0.317,0.072,0.209,1.161,1.106,0.548,0.279,0.086,0.165,
slog_stranger_1264_sink,0.842,0.955,0.469,0.335,0.075,0.211,1.162,1.100,0.538,0.295,0.072,0.178,
slog_stranger_1265_sink,0.869,0.966,0.505,0.341,0.072,0.221,1.166,1.131,0.570,0.299,0.078,0.172,
slog_stranger_1266_sink,0.839,0.946,0.474,0.335,0.076,0.201,1.126,1.128,0.522,0.411,0.081,0.172,
slog_stranger_1270_sink,0.838,0.933,0.470,0.341,0.073,0.208,1.149,1.121,0.541,0.363,0.073,0.183,
slog_stranger_1271_sink,0.849,0.944,0.484,0.327,0.072,0.215,1.149,1.115,0.563,0.436,0.082,0.174,
slog_stranger_1273_sink,0.846,0.934,0.491,0.321,0.074,0.203,1.291,1.100,0.555,0.336,0.072,0.184,
slog_stranger_1279_sink,0.873,0.976,0.524,0.456,0.073,0.216,1.185,1.177,0.556,0.321,0.077,0.174,
slog_stranger_1286_sink,0.859,0.948,0.511,0.399,0.080,0.216,1.148,1.164,0.560,0.300,0.076,0.180,
slog_stranger_1287_sink,0.886,0.967,0.562,0.441,0.077,0.205,1.295,1.449,0.554,0.304,0.080,0.180,
slog_stranger_1289_sink,1.194,1.551,0.714,0.348,0.072,0.220,1.136,1.081,0.549,0.401,0.071,0.175,
slog_stranger_1294_sink,1.209,1.566,0.711,0.436,0.074,0.211,1.346,1.130,0.526,0.321,0.081,0.172,
slog_stranger_1295_sink,0.847,0.949,0.482,0.333,0.069,0.220,1.313,1.154,0.563,0.292,0.066,0.190,
slog_stranger_1296_sink,0.836,0.954,0.475,0.396,0.081,0.205,1.120,1.135,0.523,0.325,0.075,0.183,
slog_stranger_1297_sink,0.855,0.927,0.494,0.398,0.077,0.207,1.149,1.155,0.514,0.322,0.083,0.162,
slog_stranger_1298_sink,0.878,1.012,0.504,0.316,0.072,0.205,1.312,1.639,0.604,0.311,0.077,0.178,
slog_stranger_1303_sink,0.867,0.960,0.490,0.339,0.069,0.221,1.159,1.103,0.520,0.361,0.070,0.183,
slog_stranger_1310_sink,0.880,1.011,0.512,0.329,0.069,0.215,1.266,1.417,0.566,0.302,0.074,0.178,
slog_stranger_1314_sink,0.854,0.980,0.492,0.315,0.063,0.219,1.327,1.505,0.615,0.362,0.084,0.176,
slog_stranger_1316_sink,1.208,1.541,0.733,0.319,0.074,0.202,1.134,1.135,0.535,0.311,0.078,0.170,
slog_stranger_1327_sink,0.837,0.954,0.468,0.329,0.074,0.214,1.138,1.138,0.542,0.377,0.074,0.180,
slog_stranger_1329_sink,0.866,0.999,0.514,0.317,0.070,0.208,1.291,1.493,0.596,0.305,0.073,0.178,
slog_stranger_1332_sink,1.185,1.585,0.807,0.332,0.074,0.217,1.172,1.156,0.534,0.305,0.077,0.172,
slog_stranger_1333_sink,1.289,1.623,0.590,0.331,0.076,0.203,1.263,1.119,0.582,0.440,0.079,0.176,
slog_stranger_1334_sink,0.874,1.036,0.483,0.479,0.070,0.218,1.459,1.853,0.639,0.381,0.075,0.185,
slog_stranger_1335_sink,0.864,0.957,0.510,0.323,0.061,0.223,1.188,1.136,0.515,0.345,0.070,0.180,
slog_stranger_1337_sink,0.844,0.945,0.470,0.314,0.075,0.204,1.134,1.115,0.503,0.311,0.069,0.176,
slog_stranger_1338_sink,0.850,0.922,0.509,0.409,0.064,0.217,1.165,1.166,0.555,0.319,0.083,0.174,
slog_stranger_1339_sink,0.841,0.923,0.496,0.352,0.079,0.209,1.169,1.159,0.545,0.368,0.074,0.176,
slog_stranger_133_sink,1.240,1.795,0.747,0.299,0.065,0.205,1.263,1.253,0.555,0.329,0.079,0.173,
slog_stranger_1340_sink,0.829,0.931,0.482,0.357,0.075,0.215,1.132,1.136,0.533,0.386,0.083,0.169,
slog_stranger_1341_sink,0.866,0.964,0.497,0.381,0.074,0.207,1.137,1.114,0.550,0.331,0.073,0.189,
slog_stranger_1342_sink,0.864,0.937,0.517,0.323,0.083,0.209,1.147,1.136,0.534,0.419,0.076,0.181,
slog_stranger_1343_sink,0.881,0.985,0.498,0.352,0.072,0.210,1.189,1.160,0.546,0.317,0.074,0.179,
slog_stranger_1344_sink,0.841,0.918,0.498,0.326,0.071,0.219,1.126,1.147,0.559,0.324,0.074,0.173,
slog_stranger_1345_sink,0.894,0.936,0.492,0.321,0.066,0.218,1.167,1.109,0.549,0.306,0.074,0.183,
slog_stranger_1346_sink,0.902,0.989,0.482,0.329,0.081,0.202,1.129,1.114,0.548,0.294,0.074,0.181,
slog_stranger_1347_sink,0.840,0.958,0.470,0.312,0.066,0.207,1.135,1.122,0.523,0.292,0.082,0.171,
slog_stranger_1348_sink,0.884,0.908,0.490,0.319,0.077,0.206,1.182,1.104,0.577,0.333,0.078,0.170,
slog_stranger_134_sink,,,,0.318,0.062,0.208,1.468,2.012,0.633,0.335,0.077,0.185,
slog_stranger_1350_sink,0.869,0.963,0.501,0.324,0.074,0.217,1.156,1.120,0.549,0.303,0.071,0.181,
slog_stranger_1352_sink,0.857,0.974,0.484,0.446,0.068,0.217,1.135,1.124,0.535,0.389,0.076,0.181,
slog_stranger_1357_sink,0.865,0.962,0.461,0.351,0.074,0.217,1.164,1.119,0.540,0.305,0.077,0.168,
slog_stranger_1363_sink,0.861,0.962,0.519,0.318,0.070,0.212,1.281,1.301,0.607,0.309,0.082,0.175,
slog_stranger_1364_sink,0.900,1.007,0.509,0.328,0.066,0.226,1.327,1.503,0.588,0.328,0.086,0.171,
slog_stranger_1369_sink,0.841,0.952,0.472,0.317,0.068,0.210,1.160,1.108,0.531,0.332,0.075,0.179,
slog_stranger_1370_sink,0.835,0.913,0.484,0.323,0.069,0.218,1.141,1.101,0.561,0.312,0.077,0.173,
slog_stranger_1372_sink,0.866,0.971,0.505,0.348,0.072,0.210,1.198,1.153,0.584,0.316,0.079,0.177,
slog_stranger_1377_sink,0.915,1.130,0.523,0.322,0.062,0.226,2.013,4.137,0.834,0.297,0.091,0.168,
slog_stranger_137_sink,1.251,1.679,0.639,0.417,0.061,0.212,1.616,2.356,0.651,0.323,0.085,0.183,
slog_stranger_1384_sink,0.844,0.993,0.496,0.331,0.065,0.218,1.242,1.300,0.575,0.315,0.079,0.177,
slog_stranger_1385_sink,0.876,1.022,0.492,0.329,0.086,0.205,1.314,1.724,0.574,0.427,0.085,0.179,
slog_stranger_1386_sink,0.842,0.920,0.508,0.411,0.071,0.207,1.183,1.132,0.558,0.359,0.068,0.186,
slog_stranger_1389_sink,1.200,1.541,0.782,0.448,0.077,0.213,1.169,1.119,0.584,0.343,0.075,0.177,
slog_stranger_138_sink,1.197,1.539,0.678,0.314,0.065,0.208,1.525,2.287,0.677,0.328,0.074,0.171,
slog_stranger_1393_sink,0.869,0.995,0.473,0.324,0.071,0.216,1.241,1.157,0.554,0.345,0.066,0.183,
slog_stranger_1396_sink,0.860,0.985,0.496,0.305,0.059,0.209,1.785,3.117,0.731,0.336,0.082,0.178,
slog_stranger_1399_sink,0.903,1.125,0.516,0.303,0.076,0.197,1.900,4.189,0.803,0.305,0.090,0.171,
slog_stranger_1400_sink,0.867,0.991,0.507,0.304,0.054,0.218,1.758,2.888,0.811,0.463,0.076,0.173,
slog_stranger_1403_sink,1.197,1.574,0.709,0.353,0.062,0.218,1.132,1.093,0.528,0.306,0.080,0.177,
slog_stranger_1405_sink,1.211,1.536,0.721,0.317,0.060,0.224,1.117,1.104,0.534,0.325,0.075,0.176,
slog_stranger_1406_sink,0.908,1.236,0.501,0.328,0.073,0.208,2.656,8.233,1.583,0.511,0.125,0.187,
slog_stranger_1407_sink,0.851,1.023,0.505,0.310,0.060,0.203,1.888,3.617,0.788,0.329,0.083,0.165,
slog_stranger_1410_sink,0.856,0.962,0.491,0.465,0.088,0.198,1.178,1.157,0.565,0.339,0.080,0.182,
slog_stranger_1411_sink,0.869,0.945,0.515,0.367,0.071,0.211,1.124,1.086,0.518,0.321,0.071,0.177,
slog_stranger_1412_sink,0.872,0.992,0.474,0.408,0.064,0.230,1.173,1.154,0.551,0.341,0.080,0.183,
slog_stranger_1413_sink,0.874,0.953,0.520,0.384,0.067,0.210,1.146,1.127,0.562,0.366,0.074,0.173,
slog_stranger_1414_sink,1.236,1.750,0.715,0.328,0.074,0.218,1.319,1.368,0.612,0.378,0.096,0.169,
slog_stranger_1420_sink,1.192,1.530,0.709,0.324,0.072,0.203,1.184,1.131,0.583,0.353,0.078,0.176,
slog_stranger_1421_sink,1.293,1.665,0.667,0.321,0.078,0.211,1.160,1.120,0.575,0.422,0.068,0.187,
slog_stranger_1422_sink,1.214,1.561,0.705,0.320,0.075,0.210,1.148,1.121,0.538,0.305,0.071,0.181,
slog_stranger_1423_sink,1.286,1.604,0.618,0.317,0.069,0.219,1.147,1.116,0.540,0.311,0.082,0.174,
slog_stranger_1424_sink,0.849,1.032,0.483,0.429,0.072,0.217,1.499,2.229,0.669,0.360,0.078,0.180,
slog_stranger_1426_sink,0.859,0.972,0.481,0.405,0.077,0.206,1.196,1.153,0.576,0.340,0.085,0.175,
slog_stranger_1427_sink,0.871,0.973,0.497,0.321,0.074,0.200,1.126,1.089,0.541,0.302,0.070,0.177,
slog_stranger_1430_sink,0.839,0.963,0.459,0.410,0.070,0.210,1.169,1.110,0.585,0.333,0.079,0.176,
slog_stranger_1432_sink,0.838,0.951,0.480,0.384,0.074,0.209,1.222,1.301,0.593,0.430,0.077,0.174,
slog_stranger_1438_sink,0.833,0.896,0.502,0.311,0.075,0.209,1.247,1.155,0.567,0.322,0.071,0.180,
slog_stranger_1439_sink,0.872,0.939,0.522,0.315,0.063,0.218,1.127,1.135,0.523,0.330,0.073,0.177,
slog_stranger_1440_sink,0.868,0.987,0.519,0.311,0.057,0.218,1.670,2.982,0.712,0.359,0.078,0.184,
slog_stranger_1441_sink,0.859,0.972,0.490,0.363,0.073,0.202,1.192,1.113,0.576,0.328,0.075,0.176,
slog_stranger_1442_sink,0.846,0.944,0.482,0.325,0.076,0.215,1.123,1.099,0.544,0.394,0.074,0.181,
slog_stranger_1443_sink,0.870,0.972,0.493,0.341,0.069,0.209,1.204,1.176,0.576,0.386,0.071,0.180,
slog_stranger_1444_sink,0.832,0.930,0.489,0.321,0.074,0.219,1.270,1.146,0.564,0.325,0.081,0.181,
slog_stranger_1445_sink,0.811,0.944,0.459,0.322,0.064,0.220,1.180,1.192,0.544,0.327,0.079,0.175,
slog_stranger_1446_sink,0.858,0.993,0.490,0.556,0.074,0.217,1.140,1.143,0.528,0.455,0.072,0.181,
slog_stranger_1447_sink,0.870,0.946,0.538,0.335,0.066,0.217,1.132,1.113,0.533,0.304,0.073,0.175,
slog_stranger_1448_sink,0.858,0.977,0.499,0.328,0.073,0.202,1.318,1.417,0.620,0.333,0.077,0.184,
slog_stranger_1449_sink,0.839,0.925,0.490,0.331,0.073,0.219,1.161,1.146,0.575,0.314,0.065,0.185,
slog_stranger_1451_sink,0.872,0.963,0.512,0.315,0.066,0.213,1.184,1.177,0.554,0.323,0.073,0.185,
slog_stranger_1452_sink,0.840,0.966,0.446,0.329,0.069,0.222,1.154,1.124,0.527,0.331,0.078,0.170,
slog_stranger_1453_sink,0.836,0.897,0.523,0.348,0.076,0.208,1.136,1.157,0.534,0.310,0.073,0.189,
slog_stranger_1454_sink,0.836,0.935,0.500,0.323,0.066,0.223,1.184,1.153,0.568,0.503,0.074,0.187,
slog_stranger_145_sink,0.925,1.206,0.537,0.333,0.063,0.215,3.915,13.876,2.007,0.403,0.099,0.191,
slog_stranger_1464_sink,0.871,0.986,0.509,0.410,0.059,0.219,1.451,1.413,0.636,0.363,0.074,0.174,
slog_stranger_1466_sink,1.206,1.546,0.682,0.362,0.076,0.208,1.152,1.102,0.540,0.352,0.077,0.180,
slog_stranger_1468_sink,1.298,1.558,0.643,0.328,0.076,0.198,1.149,1.100,0.521,0.315,0.076,0.179,
slog_stranger_1469_sink,0.860,1.044,0.488,0.297,0.063,0.206,2.075,4.881,0.908,0.336,0.065,0.189,
slog_stranger_1470_sink,0.882,1.065,0.519,0.391,0.065,0.210,1.988,4.658,0.889,0.333,0.073,0.181,
slog_stranger_1475_sink,1.198,1.643,0.717,0.319,0.068,0.218,1.193,1.096,0.564,0.317,0.075,0.180,
slog_stranger_147_sink,1.392,2.313,0.773,0.316,0.066,0.217,3.575,13.439,1.748,0.325,0.078,0.187,
slog_stranger_1484_sink,0.866,0.935,0.536,0.375,0.070,0.206,1.148,1.121,0.532,0.304,0.085,0.167,
slog_stranger_1486_sink,0.826,0.940,0.474,0.463,0.067,0.226,1.190,1.156,0.568,0.302,0.077,0.179,
slog_stranger_1488_sink,0.860,0.962,0.492,0.313,0.069,0.214,1.216,1.140,0.587,0.348,0.082,0.176,
