,mas,,,cvc5,,,ostrich,,,z3
filename,real,user,sys,real,user,sys,real,user,sys,real,user,sys
instance00496,0.759,0.573,0.458,0.316,0.058,0.216,1.195,1.245,0.557,0.282,0.073,0.175,
instance00497,0.747,0.592,0.442,0.312,0.056,0.203,1.248,1.286,0.571,0.287,0.080,0.175,
instance00501,0.747,0.605,0.429,0.321,0.062,0.217,1.224,1.267,0.558,0.297,0.077,0.179,
instance00519,0.751,0.589,0.445,0.305,0.058,0.208,1.246,1.252,0.554,0.287,0.069,0.186,
instance00525,0.751,0.575,0.454,0.285,0.061,0.201,1.231,1.312,0.573,0.285,0.075,0.183,
instance00530,0.745,0.560,0.449,0.314,0.056,0.216,1.218,1.243,0.579,0.367,0.076,0.190,
instance00538,0.758,0.591,0.442,0.303,0.061,0.202,1.247,1.296,0.578,0.303,0.080,0.183,
instance00586,0.751,0.579,0.434,0.310,0.057,0.214,1.215,1.260,0.547,0.286,0.074,0.169,
instance00588,0.758,0.611,0.437,0.309,0.055,0.223,1.199,1.251,0.542,0.287,0.078,0.177,
instance00609,0.754,0.571,0.452,0.304,0.056,0.208,1.263,1.275,0.573,0.296,0.065,0.192,
instance00611,0.765,0.583,0.451,0.302,0.057,0.214,1.202,1.223,0.559,0.290,0.081,0.178,
instance00617,0.753,0.577,0.446,0.296,0.056,0.208,1.251,1.273,0.608,0.288,0.072,0.184,
instance00630,0.766,0.604,0.441,0.307,0.054,0.221,1.258,1.272,0.594,0.439,0.072,0.181,
instance00640,0.731,0.557,0.448,0.294,0.050,0.217,1.194,1.274,0.533,0.290,0.075,0.172,
instance00642,0.737,0.562,0.447,0.302,0.054,0.212,1.246,1.290,0.582,0.286,0.069,0.181,
instance00647,0.730,0.595,0.420,0.296,0.056,0.213,1.222,1.283,0.553,0.299,0.072,0.184,
instance00660,0.770,0.618,0.444,0.309,0.059,0.205,1.228,1.232,0.579,0.288,0.078,0.171,
instance00661,0.751,0.567,0.450,0.305,0.059,0.209,1.253,1.291,0.603,0.290,0.078,0.173,
instance00676,0.782,0.586,0.439,0.305,0.056,0.213,1.221,1.277,0.537,0.307,0.082,0.179,
instance00677,0.748,0.593,0.451,0.308,0.060,0.211,1.218,1.269,0.546,0.291,0.081,0.168,
instance00679,0.755,0.608,0.431,0.306,0.052,0.212,1.252,1.274,0.570,0.289,0.077,0.181,
instance00686,0.748,0.602,0.431,0.313,0.058,0.215,1.186,1.258,0.549,0.298,0.076,0.185,
instance00689,0.747,0.612,0.431,0.307,0.057,0.210,1.247,1.249,0.616,0.305,0.073,0.191,
instance00713,0.774,0.607,0.441,0.302,0.053,0.214,1.220,1.261,0.558,0.435,0.077,0.181,
instance00714,0.765,0.610,0.436,0.311,0.044,0.218,1.223,1.270,0.528,0.309,0.079,0.179,
instance00715,0.729,0.595,0.424,0.305,0.052,0.222,1.246,1.274,0.592,0.303,0.074,0.186,
instance00722,0.770,0.579,0.442,0.313,0.060,0.214,1.216,1.246,0.572,0.290,0.069,0.182,
instance00730,0.760,0.589,0.447,0.312,0.056,0.213,1.223,1.249,0.569,0.282,0.071,0.180,
instance00731,0.772,0.584,0.461,0.317,0.047,0.210,1.195,1.244,0.554,0.304,0.079,0.181,
instance00740,0.765,0.586,0.446,0.305,0.054,0.213,1.264,1.285,0.585,0.285,0.073,0.183,
instance00742,0.765,0.558,0.463,0.303,0.064,0.200,1.258,1.321,0.584,0.303,0.079,0.188,
instance00765,0.759,0.599,0.441,0.310,0.054,0.222,1.245,1.271,0.570,0.296,0.073,0.191,
instance00774,0.748,0.588,0.444,0.312,0.052,0.223,1.234,1.277,0.561,0.300,0.078,0.181,
instance00776,0.753,0.609,0.430,0.440,0.062,0.205,1.242,1.232,0.586,0.289,0.072,0.178,
instance00777,0.743,0.585,0.438,0.314,0.059,0.212,1.220,1.241,0.553,0.291,0.077,0.180,
instance00782,0.803,0.609,0.456,0.310,0.070,0.202,1.215,1.278,0.543,0.288,0.079,0.176,
instance00784,0.742,0.573,0.438,0.295,0.045,0.216,1.230,1.259,0.567,0.293,0.087,0.168,
instance00793,0.764,0.586,0.449,0.318,0.058,0.212,1.206,1.261,0.556,0.292,0.080,0.180,
instance00801,0.760,0.609,0.439,0.326,0.058,0.217,1.263,1.299,0.594,0.298,0.084,0.172,
instance00804,0.760,0.594,0.450,0.297,0.059,0.201,1.223,1.263,0.558,0.295,0.077,0.184,
instance00820,0.763,0.601,0.440,0.307,0.051,0.220,1.269,1.256,0.594,0.294,0.087,0.170,
instance00827,0.753,0.573,0.454,0.303,0.058,0.211,1.256,1.330,0.554,0.284,0.084,0.164,
instance00845,0.761,0.575,0.467,0.297,0.058,0.210,1.215,1.282,0.535,0.295,0.078,0.173,
instance00847,0.754,0.587,0.436,0.316,0.053,0.210,1.268,1.231,0.622,0.292,0.072,0.177,
instance00859,0.741,0.586,0.439,0.303,0.063,0.208,1.203,1.263,0.502,0.289,0.074,0.180,
instance00860,0.730,0.600,0.416,0.314,0.067,0.198,1.226,1.228,0.546,0.283,0.075,0.175,
instance00861,0.758,0.592,0.449,0.302,0.046,0.213,1.214,1.245,0.552,0.290,0.075,0.186,
instance00862,0.741,0.593,0.446,0.314,0.050,0.221,1.215,1.223,0.532,0.317,0.076,0.182,
instance00865,0.765,0.603,0.441,0.307,0.054,0.217,1.255,1.252,0.610,0.298,0.078,0.182,
instance00883,0.782,0.589,0.450,0.315,0.059,0.214,1.266,1.269,0.597,0.288,0.070,0.180,
instance00901,0.764,0.607,0.428,0.313,0.063,0.212,1.256,1.288,0.581,0.280,0.074,0.178,
instance00905,0.749,0.574,0.443,0.302,0.056,0.204,1.188,1.218,0.546,0.286,0.074,0.182,
instance00907,0.763,0.589,0.445,0.291,0.050,0.213,1.258,1.273,0.593,0.285,0.069,0.182,
instance00918,0.746,0.567,0.453,0.304,0.063,0.211,1.258,1.311,0.574,0.275,0.073,0.176,
instance00923,0.749,0.599,0.429,0.289,0.062,0.203,1.199,1.231,0.541,0.294,0.090,0.169,
instance00935,0.737,0.578,0.427,0.289,0.055,0.205,1.194,1.244,0.560,0.295,0.078,0.174,
instance00938,0.764,0.587,0.460,0.316,0.060,0.210,1.268,1.313,0.587,0.295,0.084,0.173,
instance00948,0.748,0.591,0.453,0.302,0.062,0.207,1.239,1.246,0.583,0.292,0.074,0.174,
instance00952,0.758,0.581,0.457,0.302,0.057,0.211,1.240,1.271,0.597,0.295,0.081,0.173,
instance00956,0.770,0.610,0.433,0.312,0.053,0.215,1.208,1.257,0.518,0.292,0.076,0.171,
instance00957,0.755,0.609,0.437,0.316,0.064,0.209,1.265,1.267,0.600,0.297,0.077,0.186,
instance00961,0.764,0.590,0.443,0.300,0.057,0.204,1.209,1.253,0.525,0.286,0.075,0.178,
instance00970,0.742,0.565,0.442,0.304,0.062,0.208,1.226,1.293,0.563,0.277,0.075,0.175,
instance00977,0.769,0.605,0.439,0.303,0.062,0.209,1.286,1.247,0.559,0.297,0.078,0.182,
instance00985,0.770,0.594,0.455,0.299,0.060,0.207,1.281,1.266,0.587,0.296,0.090,0.172,
instance00986,0.775,0.619,0.431,0.289,0.062,0.199,1.241,1.289,0.584,0.284,0.083,0.166,
instance00993,0.734,0.596,0.423,0.297,0.055,0.208,1.222,1.277,0.572,0.303,0.074,0.177,
instance01014,0.747,0.578,0.444,0.286,0.057,0.203,1.187,1.235,0.540,0.295,0.074,0.182,
instance01023,0.713,0.580,0.433,0.298,0.050,0.215,1.236,1.293,0.576,0.289,0.073,0.176,
instance01028,0.775,0.599,0.438,0.328,0.062,0.208,1.190,1.217,0.560,0.284,0.074,0.185,
instance01030,0.754,0.580,0.452,0.295,0.052,0.220,1.262,1.260,0.591,0.300,0.083,0.174,
instance01040,0.758,0.572,0.463,0.298,0.055,0.210,1.220,1.279,0.527,0.280,0.069,0.180,
instance01048,0.742,0.597,0.419,0.332,0.059,0.200,1.269,1.319,0.561,0.284,0.070,0.174,
instance01053,0.756,0.612,0.424,0.305,0.056,0.216,1.250,1.268,0.591,0.293,0.076,0.182,
instance01054,0.765,0.594,0.458,0.316,0.062,0.212,1.235,1.277,0.572,0.288,0.078,0.171,
instance01056,0.745,0.569,0.433,0.296,0.064,0.206,1.195,1.282,0.535,0.292,0.069,0.188,
instance01057,0.724,0.569,0.435,0.301,0.056,0.211,1.270,1.288,0.572,0.274,0.067,0.179,
instance01067,0.751,0.573,0.443,0.322,0.058,0.214,1.228,1.262,0.539,0.296,0.076,0.179,
instance01088,0.739,0.608,0.429,0.293,0.059,0.202,1.212,1.281,0.549,0.297,0.079,0.181,
instance01089,0.768,0.598,0.454,0.299,0.054,0.213,1.265,1.313,0.575,0.277,0.076,0.178,
instance01101,0.768,0.593,0.440,0.314,0.060,0.213,1.253,1.298,0.576,0.285,0.074,0.176,
instance01107,0.771,0.571,0.442,0.292,0.057,0.210,1.252,1.288,0.596,0.300,0.075,0.185,
instance01121,0.749,0.576,0.459,0.322,0.058,0.221,1.218,1.257,0.566,0.290,0.077,0.182,
instance01135,0.758,0.588,0.443,0.311,0.050,0.218,1.242,1.269,0.573,0.302,0.076,0.182,
instance01146,0.750,0.596,0.434,0.306,0.059,0.214,1.227,1.309,0.535,0.288,0.068,0.181,
instance01168,0.761,0.589,0.453,0.299,0.056,0.208,1.203,1.271,0.540,0.293,0.084,0.172,
instance01189,0.738,0.601,0.428,0.317,0.051,0.225,1.212,1.268,0.559,0.282,0.090,0.169,
instance01197,0.747,0.597,0.436,0.299,0.055,0.207,1.253,1.260,0.571,0.297,0.083,0.173,
instance01235,0.742,0.594,0.414,0.293,0.060,0.202,1.261,1.266,0.570,0.280,0.078,0.176,
instance01242,0.772,0.588,0.441,0.300,0.058,0.213,1.223,1.254,0.565,0.305,0.082,0.171,
instance01256,0.752,0.603,0.450,0.308,0.069,0.204,1.198,1.267,0.531,0.289,0.076,0.175,
instance01258,0.754,0.611,0.430,0.309,0.068,0.206,1.241,1.257,0.571,0.301,0.081,0.175,
instance01271,0.770,0.605,0.435,0.311,0.060,0.214,1.218,1.269,0.558,0.287,0.083,0.177,
instance01273,0.732,0.557,0.443,0.299,0.058,0.204,1.201,1.274,0.554,0.292,0.076,0.170,
instance01274,0.752,0.557,0.451,0.297,0.061,0.201,1.211,1.261,0.545,0.304,0.080,0.181,
instance01275,0.760,0.599,0.455,0.297,0.042,0.221,1.257,1.305,0.566,0.291,0.078,0.175,
instance01277,0.738,0.588,0.432,0.310,0.055,0.206,1.287,1.316,0.594,0.284,0.074,0.180,
instance01287,0.745,0.603,0.428,0.307,0.064,0.207,1.241,1.278,0.554,0.278,0.070,0.178,
instance01297,0.754,0.582,0.447,0.306,0.064,0.199,1.303,1.274,0.594,0.280,0.077,0.180,
instance01298,0.763,0.565,0.459,0.310,0.066,0.205,1.252,1.278,0.584,0.304,0.075,0.180,
instance01325,0.758,0.583,0.449,0.298,0.052,0.216,1.218,1.275,0.547,0.294,0.078,0.179,
instance01335,0.747,0.591,0.443,0.295,0.056,0.214,1.229,1.260,0.557,0.298,0.073,0.188,
instance01338,0.744,0.567,0.436,0.315,0.065,0.208,1.217,1.263,0.540,0.286,0.078,0.176,
instance01353,0.756,0.582,0.452,0.311,0.063,0.209,1.257,1.269,0.571,0.304,0.076,0.184,
instance01355,0.775,0.597,0.443,0.288,0.051,0.207,1.244,1.277,0.563,0.288,0.075,0.175,
instance01359,0.763,0.597,0.432,0.291,0.061,0.203,1.225,1.221,0.566,0.297,0.083,0.177,
instance01360,0.776,0.605,0.447,0.299,0.056,0.223,1.213,1.248,0.551,0.297,0.089,0.167,
instance01361,0.753,0.604,0.441,0.312,0.051,0.216,1.263,1.272,0.599,0.295,0.079,0.172,
instance01367,0.745,0.580,0.456,0.301,0.067,0.201,1.219,1.273,0.569,0.294,0.070,0.185,
instance01368,0.734,0.583,0.419,0.283,0.061,0.198,1.267,1.289,0.593,0.295,0.072,0.176,
instance01369,0.760,0.586,0.453,0.317,0.051,0.224,1.192,1.218,0.574,0.303,0.075,0.182,
instance01376,0.727,0.550,0.453,0.288,0.059,0.197,1.265,1.265,0.582,0.287,0.072,0.173,
instance01401,0.741,0.590,0.438,0.308,0.066,0.197,1.259,1.287,0.563,0.295,0.072,0.186,
instance01402,0.735,0.579,0.435,0.308,0.055,0.213,1.250,1.248,0.634,0.303,0.078,0.180,
instance01408,0.812,0.581,0.461,0.300,0.059,0.212,1.215,1.293,0.550,0.309,0.077,0.185,
instance01410,0.771,0.605,0.430,0.321,0.059,0.216,1.190,1.231,0.550,0.292,0.076,0.192,
instance01412,0.755,0.579,0.449,0.307,0.055,0.210,1.239,1.257,0.600,0.302,0.076,0.182,
instance01414,0.735,0.592,0.437,0.316,0.052,0.221,1.264,1.309,0.582,0.294,0.082,0.179,
instance01425,0.740,0.560,0.449,0.293,0.057,0.212,1.238,1.311,0.549,0.293,0.068,0.181,
instance01427,0.742,0.580,0.454,0.304,0.055,0.206,1.220,1.278,0.545,0.290,0.080,0.170,
instance01428,0.760,0.618,0.441,0.297,0.058,0.206,1.251,1.285,0.587,0.295,0.077,0.183,
instance01447,0.743,0.587,0.412,0.298,0.055,0.215,1.218,1.223,0.578,0.284,0.079,0.168,
instance01458,0.766,0.606,0.441,0.287,0.047,0.222,1.255,1.252,0.593,0.305,0.075,0.183,
instance01468,0.753,0.574,0.453,0.300,0.060,0.206,1.225,1.261,0.534,0.299,0.079,0.177,
instance01474,0.744,0.588,0.446,0.315,0.056,0.213,1.226,1.213,0.585,0.290,0.072,0.178,
instance01476,0.765,0.583,0.454,0.311,0.059,0.216,1.241,1.275,0.570,0.298,0.076,0.176,
instance01478,0.758,0.570,0.443,0.298,0.061,0.198,1.254,1.301,0.573,0.277,0.079,0.172,
instance01484,0.733,0.563,0.441,0.282,0.051,0.210,1.217,1.289,0.545,0.286,0.072,0.175,
instance01491,0.749,0.594,0.422,0.304,0.049,0.223,1.225,1.263,0.572,0.283,0.078,0.178,
instance01492,0.727,0.584,0.414,0.314,0.052,0.217,1.194,1.243,0.548,0.293,0.063,0.195,
instance01495,0.754,0.590,0.442,0.311,0.061,0.209,1.250,1.290,0.568,0.298,0.080,0.174,
instance01523,0.747,0.621,0.423,0.317,0.056,0.216,1.261,1.287,0.579,0.288,0.082,0.169,
instance01526,0.762,0.580,0.444,0.303,0.057,0.217,1.205,1.270,0.548,0.285,0.080,0.177,
instance01527,0.764,0.604,0.438,0.303,0.060,0.203,1.257,1.299,0.568,0.299,0.074,0.180,
instance01544,0.735,0.583,0.426,0.289,0.062,0.202,1.231,1.252,0.583,0.281,0.074,0.176,
instance01558,0.749,0.585,0.437,0.307,0.065,0.198,1.221,1.248,0.565,0.287,0.073,0.174,
instance01567,0.754,0.597,0.438,0.309,0.054,0.217,1.230,1.291,0.561,0.303,0.081,0.182,
instance01568,0.737,0.594,0.422,0.298,0.062,0.201,1.210,1.237,0.554,0.301,0.062,0.198,
instance01576,0.747,0.579,0.454,0.301,0.056,0.216,1.257,1.303,0.549,0.286,0.076,0.181,
instance01592,0.758,0.605,0.425,0.302,0.050,0.213,1.258,1.277,0.591,0.294,0.070,0.179,
instance01593,0.747,0.591,0.422,0.306,0.054,0.215,1.251,1.280,0.564,0.292,0.078,0.182,
instance01610,0.746,0.568,0.454,0.314,0.057,0.210,1.221,1.247,0.556,0.294,0.085,0.169,
instance01612,0.747,0.560,0.466,0.317,0.054,0.218,1.264,1.280,0.574,0.298,0.074,0.183,
instance01614,0.748,0.566,0.457,0.296,0.056,0.202,1.201,1.275,0.533,0.290,0.079,0.168,
instance01617,0.759,0.599,0.438,0.315,0.044,0.223,1.210,1.247,0.551,0.299,0.070,0.184,
instance01633,0.740,0.584,0.429,0.306,0.052,0.218,1.236,1.270,0.570,0.288,0.084,0.167,
instance01653,0.741,0.553,0.449,0.303,0.056,0.221,1.255,1.257,0.576,0.333,0.074,0.176,
instance01657,0.764,0.573,0.454,0.312,0.063,0.201,1.278,1.296,0.598,0.293,0.087,0.169,
instance01658,0.748,0.566,0.451,0.298,0.058,0.211,1.189,1.263,0.535,0.289,0.076,0.173,
instance01660,0.776,0.603,0.461,0.302,0.066,0.208,1.247,1.266,0.594,0.294,0.077,0.179,
instance01666,0.728,0.563,0.442,0.301,0.057,0.205,1.225,1.255,0.586,0.306,0.073,0.178,
instance01669,0.769,0.573,0.446,0.324,0.062,0.216,1.239,1.277,0.578,0.295,0.081,0.169,
instance01688,0.771,0.580,0.462,0.309,0.066,0.206,1.232,1.274,0.550,0.278,0.084,0.172,
instance01690,0.750,0.594,0.428,0.299,0.058,0.205,1.225,1.266,0.584,0.298,0.076,0.176,
instance01695,0.743,0.573,0.450,0.306,0.068,0.207,1.258,1.336,0.565,0.299,0.087,0.167,
instance01697,0.759,0.603,0.442,0.309,0.054,0.215,1.191,1.248,0.510,0.288,0.073,0.182,
instance01701,0.737,0.572,0.433,0.317,0.054,0.212,1.237,1.291,0.560,0.307,0.071,0.186,
instance01711,0.752,0.584,0.437,0.307,0.053,0.220,1.329,1.285,0.580,0.292,0.077,0.171,
instance01716,0.738,0.597,0.420,0.314,0.057,0.213,1.266,1.284,0.564,0.310,0.081,0.178,
instance01718,0.751,0.572,0.444,0.318,0.049,0.222,1.237,1.269,0.559,0.280,0.065,0.192,
instance01725,0.756,0.559,0.471,0.310,0.044,0.223,1.227,1.268,0.563,0.301,0.086,0.172,
instance01732,0.754,0.598,0.424,0.301,0.062,0.212,1.233,1.271,0.545,0.418,0.077,0.178,
instance01733,0.760,0.591,0.441,0.291,0.051,0.203,1.188,1.266,0.517,0.570,0.077,0.179,
instance01745,0.760,0.591,0.436,0.312,0.058,0.214,1.256,1.273,0.621,0.373,0.069,0.186,
instance01746,0.741,0.574,0.428,0.301,0.062,0.208,1.257,1.276,0.565,0.420,0.078,0.170,
instance01749,0.745,0.589,0.427,0.311,0.057,0.221,1.270,1.333,0.560,0.468,0.077,0.173,
instance01758,0.749,0.590,0.432,0.289,0.060,0.203,1.203,1.261,0.559,0.361,0.077,0.177,
instance01768,0.743,0.580,0.443,0.303,0.059,0.203,1.213,1.263,0.543,0.353,0.075,0.184,
instance01779,0.748,0.585,0.446,0.296,0.056,0.216,1.229,1.263,0.552,0.299,0.078,0.172,
instance01785,0.750,0.585,0.432,0.292,0.057,0.217,1.215,1.280,0.559,0.289,0.085,0.165,
instance01795,0.754,0.606,0.436,0.288,0.064,0.193,1.203,1.239,0.575,0.290,0.076,0.180,
instance01805,0.748,0.589,0.442,0.304,0.049,0.222,1.258,1.246,0.604,0.302,0.074,0.187,
instance01808,0.759,0.580,0.453,0.304,0.051,0.214,1.260,1.317,0.565,0.300,0.080,0.182,
instance01814,0.744,0.555,0.476,0.295,0.060,0.213,1.264,1.256,0.599,0.290,0.070,0.186,
instance01819,0.777,0.575,0.482,0.318,0.059,0.215,1.254,1.269,0.567,0.300,0.079,0.179,
instance01828,0.763,0.576,0.455,0.304,0.053,0.211,1.215,1.279,0.523,0.297,0.087,0.172,
instance01831,0.763,0.601,0.441,0.312,0.058,0.215,1.192,1.266,0.546,0.279,0.080,0.172,
instance01834,0.735,0.611,0.426,0.299,0.055,0.213,1.231,1.292,0.533,0.299,0.072,0.181,
instance01837,0.760,0.592,0.440,0.288,0.054,0.210,1.204,1.284,0.527,0.296,0.080,0.183,
instance01844,0.755,0.577,0.437,0.322,0.058,0.212,1.257,1.271,0.589,0.290,0.069,0.180,
instance01853,0.752,0.602,0.445,0.287,0.061,0.206,1.254,1.287,0.566,0.295,0.079,0.177,
instance01855,0.732,0.590,0.434,0.314,0.061,0.217,1.258,1.283,0.583,0.300,0.086,0.173,
instance01857,0.773,0.586,0.466,0.303,0.055,0.217,1.262,1.308,0.574,0.276,0.077,0.176,
instance01859,0.740,0.590,0.443,0.311,0.051,0.221,1.216,1.254,0.564,0.299,0.073,0.185,
instance01875,0.760,0.601,0.448,0.300,0.062,0.200,1.199,1.237,0.569,0.309,0.072,0.181,
instance01884,0.737,0.583,0.443,0.309,0.051,0.225,1.192,1.209,0.559,0.295,0.083,0.177,
instance01894,0.740,0.590,0.433,0.311,0.057,0.210,1.189,1.241,0.566,0.296,0.085,0.170,
instance01902,0.757,0.574,0.453,0.300,0.057,0.207,1.241,1.262,0.589,0.283,0.080,0.174,
instance01904,0.741,0.584,0.447,0.304,0.058,0.209,1.201,1.283,0.530,0.277,0.074,0.173,
instance01917,0.735,0.576,0.434,0.305,0.076,0.194,1.266,1.323,0.563,0.291,0.065,0.190,
instance01918,0.746,0.561,0.451,0.276,0.061,0.195,1.247,1.278,0.581,0.290,0.078,0.178,
instance01922,0.761,0.591,0.453,0.312,0.050,0.219,1.236,1.269,0.558,0.284,0.070,0.179,
instance01924,0.750,0.591,0.439,0.352,0.056,0.214,1.264,1.260,0.593,0.282,0.079,0.178,
instance01945,0.722,0.561,0.433,0.422,0.057,0.209,1.222,1.253,0.565,0.287,0.068,0.189,
instance01951,0.766,0.578,0.445,0.320,0.064,0.212,1.195,1.253,0.515,0.296,0.072,0.183,
instance01959,0.768,0.587,0.455,0.288,0.059,0.200,1.201,1.249,0.539,0.307,0.079,0.181,
instance01960,0.745,0.597,0.413,0.328,0.059,0.209,1.270,1.289,0.567,0.290,0.073,0.180,
instance01964,0.772,0.580,0.435,0.316,0.055,0.210,1.203,1.258,0.555,0.289,0.071,0.184,
instance01976,0.753,0.591,0.448,0.308,0.058,0.208,1.257,1.294,0.555,0.300,0.079,0.179,
instance01985,0.774,0.581,0.440,0.293,0.054,0.214,1.239,1.281,0.568,0.296,0.083,0.170,
instance01989,0.764,0.585,0.454,0.313,0.060,0.210,1.261,1.286,0.573,0.296,0.080,0.179,
instance01991,0.757,0.590,0.454,0.294,0.063,0.200,1.267,1.280,0.578,0.288,0.079,0.169,
